,Type,Grant Type,Receiver,Grant size (DKK),Year
0,Creation House,Convertible Loan,Bainan Biotech ApS,"2.475.000,00 DKK",2021
1,Creation House,Convertible Loan,2N Pharma ApS,"4.275.000,00 DKK",2021
2,Creation House,Convertible Loan,Lophora ApS,"2.250.000,00 DKK",2021
3,Creation House,Convertible Loan,Teitur Trophics ApS,"2.062.500,00 DKK",2021
4,Creation House,Convertible Loan,PokeAcell ApS,"2.085.000,00 DKK",2021
5,Creation House,Convertible Loan,UNIKUM Therapeutics ApS,"4.762.500,00 DKK",2021
6,Creation House,Convertible Loan,Sundew ApS,"3.474.177,00 DKK",2021
7,Creation House,Convertible Loan,Ciana Therapeutics ApS,"2.625.000,00 DKK",2021
8,Faculty - IP,Grant,Faculty Keasling IP Grant 1st Year,"300.000,00 DKK",2021
9,Faculty - IP,Grant,Faculty Sommer IP Grant 1st Year,"213.819,99 DKK",2021
10,Faculty - IP,Grant,Faculty Boisen IP Grant 1st Year,"300.000,00 DKK",2021
11,Faculty - IP,Grant,Faculty Andresen IP Grant 1st Year,"300.000,00 DKK",2021
12,Faculty - IP,Grant,Faculty S. Nielsen IP Grant 1st Year,"300.000,00 DKK",2021
13,Faculty,Grant,Faculty Kristiansen Project Grant 1st Year,"6.000.000,00 DKK",2021
14,Faculty - PI,In-Kind,Faculty Kristiansen PI Grant 1st Year,"200.000,00 DKK",2021
15,Faculty - IP,In-Kind,Faculty Sommer IP Grant 2nd Year,"300.000,00 DKK",2021
16,Faculty - IP,In-Kind,Faculty Keasling IP Grant 2nd Year,"300.000,00 DKK",2021
17,Other Grants,Grant,KU - Covaman,"2.000.000,00 DKK",2021
18,Other Grants,Grant,KU - Infrastructure,"2.100.000,00 DKK",2021
19,Faculty,Grant,Faculty Keasling Project Grant 2nd Year,"6.000.000,00 DKK",2021
20,Faculty,Grant,Faculty Sommer Project Grant 2nd Year,"6.000.000,00 DKK",2021
21,Creation House,Convertible Loan,Embark Biotech,"7.500.000,00 DKK",2021
22,Creation House,Convertible Loan,iNotify,"7.500.000,00 DKK",2021
23,Creation House,Convertible Loan,Orbit,"7.500.000,00 DKK",2021
24,Creation House,Convertible Loan,Pephexia,"7.500.000,00 DKK",2021
25,VentureLab,Convertible Loan,Bioomix,"3.000.000,00 DKK",2021
26,VentureLab,Convertible Loan,EvodiaBio,"3.000.000,00 DKK",2021
27,VentureLab,Convertible Loan,FLASH diagnostics,"3.000.000,00 DKK",2021
28,VentureLab,Convertible Loan,NewOstomyLife,"3.000.000,00 DKK",2021
29,VentureLab,Convertible Loan,HEI THERAPEUTICS,"3.000.000,00 DKK",2021
30,VentureLab,Convertible Loan,Stimuliver,"3.000.000,00 DKK",2021
