,Year,Reciever and Title,Grant size (DKK),Description,Project Category
0,2024,Investeringsprogram efterværn - udviklingsmidler,2.000.000 kr.,"Udviklingsmidler til programmet ""Investeringsprogram - anbragte unge i overgangen til voksenli-vet"" Den Sociale Investeringsfond kan anvende de 2 mio. kr. til løbende procesunderstøttelse til f.eks. ungeinvolvering, udvikling af nye samarbejdsrelationer, vidensindsamling mv. Formålet er at fremme sociale investeringer på efterværnsområdet.",Unge på kanten
1,2024,Askovhus - Natur til et godt liv 2.0 (2/3),261.000 kr.,"Bevillingens overordnede formål er at udbrede naturintegrerede indsatser til unge med spiseforstyrrelsen BED. Projektet centrerer sig om tre hovedaktiviteter: 1) Naturintegreret BED efterbehandling til unge, 2) Læringsforløb til fagprofessionelle og 3) Formidlingsaktiviteter og kommunikation.",Unge på kanten
2,2024,Interne ressourcer Udvikling 2023 (skattemæssig bevilling),275.000 kr.,"Bikubenfonden har en del indsatser, hvor en væsentlig del af fremdriften og udviklingsarbejdet udføres af fondens medarbejdere. Lønudgifterne for denne arbejdsindsats betegnes som de interne ressourcer.",Unge på kanten
3,2024,HAUT Udviklingsindsats 2024,148.750 kr.,"HAUT får bevilling til strategisk udviklingsproces, der skal styrke HAUTs fremtidige arbejde.",Aktuel kunst
4,2024,Kontingent partnermedlem Invest for Impact 2024,80.000 kr.,"Invest for Impact arbejder for at fremme vilkårene og mængden af danske impactinvesteringer, der både skaber økonomisk afkast og bidrager positivt til samfundets udvikling. Dette gælder grøn omstilling såvel som at imødekomme de fremtidige velfærdsudfordringer, staten ikke kan finansiere alene. Medlemskabet i foreningen Invest for Impact Denmark understøtter, og er en forlængelse af, Bikubenfondens strategi om at være katalysator for systemforandring.",Andre formål
5,2024,Interne ressourcer Kommunikation 2023 (skattemæssig bevilling),265.000 kr.,"Bikubenfonden har en del indsatser, hvor en væsentlig del af fremdriften og udviklingsarbejdet udføres af fondens medarbejdere. Lønudgifterne for denne arbejdsindsats betegnes som de interne ressourcer.",Unge på kanten
6,2024,Analyse & Tal - Udviklingen af prototype på databaseret foresight model,375.000 kr.,"Bikubenfonden støtter Analyse & Tal i udviklingen af prototype på en databaseret foresight model. Foresight modelling forstås som evnen til at få øje på nye dagsordner og issues, når de spirer frem og griber indpas i den offentlige debat og hos relevante aktører. En datadrevet foresight model kan komme danske politiske, filantropiske, forsknings- og civilsamfundsaktører til gode. Communityet, Thoravej 29, vil indgå i udviklingen af den nye model.",Andre formål
7,2024,Interne ressourcer Udvikling 2023 (skattemæssig bevilling),127.000 kr.,"Bikubenfonden har en del indsatser, hvor en væsentlig del af fremdriften og udviklingsarbejdet udføres af fondens medarbejdere. Lønudgifterne for denne arbejdsindsats betegnes som de interne ressourcer.",Aktuel kunst
8,2024,Kunstmødet på Christiansborg - Sanser & Finanser,300.000 kr.,"Gennem arrangementsrækken ”Sanser & Finanser” vil politikere og kunstnere lære af hinanden gennem kunstmøder på Christiansborg. Kunstplatformen Art Matter og Bikubenfonden står bag initiativet, der i første omgang byder på tre arrangementer i 2024.",Aktuel kunst
9,2024,Tværgående Fællesskabs- og Tryghedsbase i Housing First-indsatsen,11.250.000 kr.,"Omstilling af Housing First indsatsen mellem Århus Kommune og Kirkens Korshær. Den 4-årige udviklingsindsats er en showcase på, hvordan et styrket og koordineret samarbejde mellem herbergssektoren og kommune kan bidrage til at løse problematikken i Housing First-indsatser med at unge bliver ensomme i deres lejligheder, og dermed søger tilbage til fællesskabet på herberget i. Der indstilles en bevilling på i alt 11.250.000 mio. kr. hvoraf de 10 mio. bruges til medarbejderressourcer til afprøvning og omstilling af indsatsen,1 mio. til konsulentunderstøttelse og 250.000 kr. til interne filantropiske omkostninger",Unge på kanten
10,2024,Kontingent Akademiet for Social Innovation/Talentakademiet,6.250 kr.,"Dette er en administrativ bevilling, der støtter udgifter til kontingent ifm. Talentakademiet. Akademiet er i kraft af sit tværsektorielle og tværfaglige udgangspunkt et unikt fællesskab for ledere, der giver en særlig position og mulighed for at skubbe på og skabe forandring. Bevillingen indgår som en del af Bikubenfondens fokus på kapacitetsopbygning.",Unge på kanten
11,2024,Aarhus Kommune & Kirkens Korshær - designsprint: Fællesskabs- & tryghedsbase i Housing First indsats,183.125 kr.,Finansiering af designsprint til Aarhus Kommune og Kirkens Korshær med henblik på kvalificering af ide om omstilling af Housing First indsats med en fællesskabs- og tryghedsbase som brobygning mellem herberg og egen bolig,Unge på kanten
12,2024,Interne ressourcer Dialog med potentielle modtagere 2023 (skattemæssig bevilling),80.000 kr.,"Bikubenfonden har en del indsatser, hvor en væsentlig del af fremdriften og udviklingsarbejdet udføres af fondens medarbejdere. Lønudgifterne for denne arbejdsindsats betegnes som de interne ressourcer.",Unge på kanten
13,2024,Impact Insider - Understøttelse af drift,425.875 kr.,"Bikubenfonden anser Impact Insider som en vigtig brik i arbejdet med at skabe systemiske forandringer i vores samfund. Mediet bringer med sin journalistik erfaringer, strømninger, stemmer og udfordringer til debat, som sjældent får spalteplads i traditionelle medier. Bikubenfonden har sammen med Oak Foundation hjulpet Impact Insider i gang i 2022. Bikubenfondens nye bevilling er målrettet driften af Impact Insider.",Unge på kanten
14,2024,NTGL Lab - Udvikling 2025-2027 (1/3),2.000.000 kr.,"Bevillingen er en del af en 3-årige rammebevilling, der støtter en ambitiøs videreudvikling af Natur til et godt liv - Laboratoriet og Natur til et godt liv - Svanninge Bjerge, som en inkubator for naturintegreret socialt arbejde.",Unge på kanten
15,2024,Investeringsperspektiv i kommunale budgetprocesser - formidling,125.000 kr.,"Komponent driver forprojekt til projekt med investeringsperspektiv i de kommunale budgetprocesser. Forprojektet skal afdække muligheder og barrierer for afprøvninger af nye tilgange i de kommunale budgetprocesser hvor et investeringsperspektiv er et bærende element. Midler til formidling har til formål at dele læring undervejs, bl.a. som en del af en modningsproces.",Unge på kanten
16,2024,"Interne ressourcer Monitorering/kurser, uddannelse 2023 (skattemæssig bevilling)",262.000 kr.,"Bikubenfonden har en del indsatser, hvor en væsentlig del af fremdriften og udviklingsarbejdet udføres af fondens medarbejdere. Lønudgifterne for denne arbejdsindsats betegnes som de interne ressourcer.",Unge på kanten
17,2024,ROCKPA medlemskab 1. del - Filantropisk udvikling,206.112 kr.,"ROCKPA er i dag en af verdens største og vigtigste rådgivere på fondsområdet. De er kendt for deres banebrydende tilgang til filantropisk virksomhed og står bl.a. bag frameworket Theory of the Foundations, der har sat en helt ny standard for global filantropi på tværs af landegrænser og samfundsaktører. Medlemskabet af ROCKPA sikrer både inspiration, udvikling og det fortsatte samarbejde med en central sparringspartner, der har præget Bikubenfondens strategiske udvikling. Medlemskabet tjener derudover et almennyttigt sigte, da andre aktører, nærmere bestemt Akademiet for Social Innovation, inviteres med i netværket hvorved den tilsigtede vidensdeling kan styrkes gennem deling i deres ledernetværk.",Andre formål
18,2024,Interne ressourcer 2023 - Vision,185.000 kr.,"Bikubenfonden har en del indsatser, hvor en væsentlig del af fremdriften og udviklingsarbejdet udføres af fondens medarbejdere. Lønudgifterne for denne arbejdsindsats betegnes som de interne ressourcer.",Aktuel kunst
19,2024,TUBA Natur til et godt liv - Laboratoriet (3/3),391.500 kr.,"Formålet med samarbejdet mellem TUBA og NTGL LAB er at undersøge, hvad natursociale indsatser betyder for sårbare unge, der har haft misbrug tæt på livet gennem deres opvækst. Samarbejdet skal give indblik i, hvordan naturen kan anvendes i deres egen hverdag som en trivselsfremmende faktor. Gennem 5 terapi grupper over en 3-årig periode, vil projektet systematisk udvikle og afprøve en terapeutisk indsats, hvor naturens helende egenskaber er en integreret del af en naturbaseret terapeutisk indsats som metode i behandling af komplekse problemstillinger",Unge på kanten
20,2024,Kontingent Akademiet for Social Innovation/Talentakademiet,7.500 kr.,"Dette er en administrativ bevilling, der støtter udgifter til kontingent ifm. Talentakademiet. Akademiet er i kraft af sit tværsektorielle og tværfaglige udgangspunkt et unikt fællesskab for ledere, der giver en særlig position og mulighed for at skubbe på og skabe forandring. Bevillingen indgår som en del af Bikubenfondens fokus på kapacitetsopbygning.",Unge på kanten
21,2024,Folkemøde 2024 Beslutningskraft,120.000 kr.,"Arrangement på Folkemøde 2024 som afholdes i samarbejde med udviklingspartnerskabet ""Mere beslutningskraft til unge på kanten"". Formålet er at dele, inspirere og inddrage i forhold til at skabe læring og erfaringer med at øge unges beslutningskraft. Udgifterne går til Folkemødets fællesskabsscene, facilitator, ungeinddragelse og formidling af temaet via inspirationsvideoer.",Unge på kanten
22,2024,Kulturens Analyse Institut,2.400.000 kr.,"Kulturens Analyseinstitut vil i samarbejde med fire udvalgte cases og Bikubenfonden undersøge, hvad kunsten betyder for de mennesker, der møder den i det offentlige rum.",Aktuel kunst
23,2024,SOFTER,369.000 kr.,SOFTER modtager støtte til udvikling af deres globale netværk samt organisationsudvikling for at styrke SOFTERs evne til at agere internationalt i samtalen om kunst og tech.,Aktuel kunst
24,2024,Interne ressourcer 2023 - Community Thoravej 29,228.000 kr.,"Bikubenfonden har en del indsatser, hvor en væsentlig del af fremdriften og udviklingsarbejdet udføres af fondens medarbejdere. Lønudgifterne for denne arbejdsindsats betegnes som de interne ressourcer.",Andre formål
25,2024,Interne ressourcer 2023 - Politisk interessevaretagelse,266.000 kr.,"Bikubenfonden har en del indsatser, hvor en væsentlig del af fremdriften og udviklingsarbejdet udføres af fondens medarbejdere. Lønudgifterne for denne arbejdsindsats betegnes som de interne ressourcer.",Aktuel kunst
26,2024,Interne ressourcer 2023 - SKITSE - formidling og arrangementer,508.000 kr.,,Aktuel kunst
27,2024,Interne ressourcer 2023 - Kunst,860.000 kr.,"Bikubenfonden har en del indsatser, hvor en væsentlig del af fremdriften og udviklingsarbejdet udføres af fondens medarbejdere. Lønudgifterne for denne arbejdsindsats betegnes som de interne ressourcer.",Aktuel kunst
28,2024,Interne ressourcer 2023 - Interessevaretagelse - Kunstens betydning i kommuner,370.000 kr.,"Bikubenfonden har en del indsatser, hvor en væsentlig del af fremdriften og udviklingsarbejdet udføres af fondens medarbejdere. Lønudgifterne for denne arbejdsindsats betegnes som de interne ressourcer.",Aktuel kunst
29,2024,Copenhagen Contemporary med udstillingen Residential,500.000 kr.,"Copenhagen Contemporary har modtaget støtte til organisationsudvikling og læring af arbejdet med kunstnere med neurodivergens. Udstillingen Residential blev skabt i partnerskab med den britiske, aktivistiske kunstnergruppe Project Art Works, der med sine 25 års erfaring i feltet har bidraget til Copenhagen Contemporarys opbygning af viden og ny praksis som kunstinstitution, der igen kan medvirke til at løfte andre institutioners viden og ageren ift. inklusion af kunstnere med særlige behov.",Aktuel kunst
30,2024,BaggårdTeatret - Jakob Engmann,350.000 kr.,BaggårdTeatret har fået støtte til en bæredygtig udvikling af deres organisation og strategi frem mod indflytning i Stålhallen i Svendborg i 2026. BaggårdTeatret vil med indsatsen øge deres betydning som nøgleaktør for den regionale scenekunst med en stærk lokal forankring.,Aktuel kunst
31,2024,Sort/Hvid - Mette Bryndum,500.000 kr.,"Sort/Hvid modtager støtte til organisatorisk arbejde og etablering af et offentligt laboratorium for udvikling af nye scenekunstneriske praksisser, blandt andet i det tværæstetiske felt.",Aktuel kunst
32,2024,Københavns Internationale Teater,300.000 kr.,"Københavns Internationale Teater modtager støtte til opbygningen af Metropolis Greenhouse med fokus på udvikling og kommunikation, samt landsdækkende kompetenceudviklingsforløb med lokale partnerne.",Aktuel kunst
33,2024,Copenhagen Opera Festival - Rikke Frisk,125.000 kr.,Copenhagen Opera Festival vil igangsætte en analyse og dialog på scenekunstfeltet for at afdække præcise behov og mulige samarbejdsaktører for at kunne understøtte nyskabende talent inden for den musikdramatiske genre.,Aktuel kunst
34,2024,Askovhus - Natur til et godt liv 2.0 (3/3),261.000 kr.,"Bevillingens overordnede formål er at udbrede naturintegrerede indsatser til unge med spiseforstyrrelsen BED. Projektet centrerer sig om tre hovedaktiviteter: 1) Naturintegreret BED efterbehandling til unge, 2) Læringsforløb til fagprofessionelle og 3) Formidlingsaktiviteter og kommunikation.",Unge på kanten
35,2024,Det Ferösche Compagnie - Durita Sumberg,495.800 kr.,"Det Ferösche Compagnioe modtager støtte til udvikling af deres strategiske og organisatoriske grundlag, så kompagniets kunstneriske potentiale får optimerede betingelser for udfoldelse i de kommende år.",Aktuel kunst
36,2024,Kollegiemodellen - midlertidig forlængelse,225.000 kr.,"Med en to-årig bevilling løbende fra medio 2021 til medio 2023 er NGO'en KBH+ i gang med at gentænke, hvordan unge fra hjemløshed støttes i at finde fodfæste på Bikubenfondens kollegium i København. Det gør de i et eksperimentbaseret MVP- forløb, som kombinerer konceptudvikling med praktisk, socialfagligt arbejde med kollegiets unge. Med denne bevilling bygger KBH+ et 1-årigt afprøvningsår ovenpå det igangværende MVP-forløb. Et afprøvningsår der løber fra medio 2023 til medio 2024. Denne administrative bevilling er givet til en forlængelse af indsatsen frem til ny indstillingssag på bestyrelsesmødet oktober 2024.",Unge på kanten
37,2024,Interne ressourcer Svanninge Bjerge 2023 (skattemæssige bevilling),1.100.000 kr.,"Bikubenfonden har en del indsatser, hvor en væsentlig del af fremdriften og udviklingsarbejdet udføres af fondens og Svanninge Bjerges medarbejdere. Lønudgifterne for denne arbejdsindsats betegnes som de interne ressourcer.",Andre formål
38,2024,Interne ressourcer Monitorering 2023 (skattemæssig bevilling),221.000 kr.,"Bikubenfonden har en del indsatser, hvor en væsentlig del af fremdriften og udviklingsarbejdet udføres af fondens medarbejdere. Lønudgifterne for denne arbejdsindsats betegnes som de interne ressourcer.",Aktuel kunst
39,2024,Interne ressourcer Rådgivning 2023 (skattemæssig bevilling),61.000 kr.,"Bikubenfonden har en del indsatser, hvor en væsentlig del af fremdriften og udviklingsarbejdet udføres af fondens medarbejdere. Lønudgifterne for denne arbejdsindsats betegnes som de interne ressourcer.",Aktuel kunst
40,2024,Investeringsperspektiv i kommunale budgetprocesser - forprojekt,498.700 kr.,Komponent driver forprojekt til projekt med investeringsperspektiv i de kommunale budgetprocesser. Forprojektet skal afdække muligheder og barrierer for afprøvninger af nye tilgange i de kommunale budgetprocesser hvor et investeringsperspektiv er et bærende element.,Unge på kanten
41,2024,NTGL Lab Svanninge Bjerge 2025-2027 (1/3),3.750.000 kr.,"Bevillingen er en del af en 3-årige rammebevilling, der støtter en ambitiøs videreudvikling af Natur til et godt liv - Laboratoriet og Natur til et godt liv - Svanninge Bjerge, som en inkubator for naturintegreret socialt arbejde.",Unge på kanten
42,2024,Interne ressourcer Bestyrelsesmateriale 2023 (skattemæssig bevilling),266.000 kr.,"Bikubenfonden har en del indsatser, hvor en væsentlig del af fremdriften og udviklingsarbejdet udføres af fondens medarbejdere. Lønudgifterne for denne arbejdsindsats betegnes som de interne ressourcer.",Unge på kanten
43,2024,TUBA Natur til et godt liv - Laboratoriet (2/3),391.500 kr.,"Formålet med samarbejdet mellem TUBA og NTGL LAB er at undersøge, hvad natursociale indsatser betyder for sårbare unge, der har haft misbrug tæt på livet gennem deres opvækst. Samarbejdet skal give indblik i, hvordan naturen kan anvendes i deres egen hverdag som en trivselsfremmende faktor. Gennem 5 terapi grupper over en 3-årig periode, vil projektet systematisk udvikle og afprøve en terapeutisk indsats, hvor naturens helende egenskaber er en integreret del af en naturbaseret terapeutisk indsats som metode i behandling af komplekse problemstillinger",Unge på kanten
44,2024,Interne ressourcer Dialog med potentielle modtagere 2023 (skattemæssig bevilling),40.000 kr.,"Bikubenfonden har en del indsatser, hvor en væsentlig del af fremdriften og udviklingsarbejdet udføres af fondens medarbejdere. Lønudgifterne for denne arbejdsindsats betegnes som de interne ressourcer.",Aktuel kunst
