,Receiver,Description,Grant size (DKK),Year
0,Fonden Universe Science Park,Fonden er blevet stiftet med indskud af 60 mio. kr. Fonden skal eje og drive oplevelsesparken Universe,60 mio. kr.,2012
1,Fabrikant Mads Clausens Fond,Modtaget 10 mio. kr. til uddeling blandt almenvelgørende formål,10 mio. kr.,2012
2,Flensborg By,Modtaget 2 mio. kr. til et brandingprojekt for at markedsføre den dansk/tyske region,2 mio. kr.,2012
3,Udviklingsråd Sønderjylland,Modtaget 1 mio. kr. som støtte til projekter i 2013 og 2014,1 mio. kr.,2012
4,Sønderborg Lufthavn,"Modtaget 1 mio. kr. til et projekt, der skulle undersøge og markedsføre lufthavnen som bi-national",1 mio. kr.,2012
5,SønderjyskE Herrehåndbold,Modtaget 1 mio. kr.,1 mio. kr.,2012
6,Ifabrikken,Modtaget 500.000 kr. som støtte til drift i opstartsfasen,500000,2012
7,Universe Fonden,"Universe Fonden har modtaget 12,8 mio. kr. til drift i årene 2014-2017. Bitten & Mads Clausens Fond sikrer gennem sin dækning af Universe Fondens drift, at andre donorer giver tilskud til læringsprojekter.","12,8 mio. kr.",2013
8,Fabrikant Mads Clausens Fond,Fabrikant Mads Clausens Fond modtog 10 mio. kr. til uddeling blandt almenvelgørende formål.,"10,0 mio. kr.",2013
9,ProjectZero,ProjectZero Fonden har modtaget 8 mio. kr. til drift i årene 2014-2017.,"8,0 mio. kr.",2013
10,Lean Energy Cluster,"Lean Energy Cluster har modtaget 4,75 mio. kr. for at opnå status som guldklynge. Støtten var betinget af, at Lean Energy fik status som nationalt innovationsnetværk, hvilket skete i efteråret 2013.","4,75 mio. kr.",2013
11,SønderjyskE 2013,"SønderjyskE modtog 1 mio. kr. til opgradering/udbygning af fodboldstadion i Haderslev. Øvrige donorer inkluderer SE, der donerede 8 mio. kr.","1,0 mio. kr.",2013
12,Kulturby 2017,"Kulturby 2017 projektet fik tildelt 1 mio. kr. Donationen blev udbetalt i 2012, men formelt givet ved bestyrelsesmødet i 2013.","1,0 mio. kr.",2013
13,SønderjyskE Håndbold,SønderjyskE Håndbold i Sønderborg modtog 750.000 kr. i støtte. Donationen blev bakket op af et sponsorat af Danfoss A/S.,750000,2013
