,Year,Reciever,Grant size (DKK),Description,Institution,Grant Number,Project Category
0,"År
2024",Jesper Qualmann Svejstrup,"Beløb
DKK 1,500,000",Forskningspris 2024 - Forskningsbevilling,Institution,001,Strategic Grants
1,"År
2024",Jesper Qualmann Svejstrup,"Beløb
DKK 500,000",Forskningspris 2024 - Personlig bevilling,Institution,002,Strategic Grants
2,"År
2024",Rubina Raja,"Beløb
DKK 1,500,000",Forskningspris 2024 - Forskningsbevilling,Institution,003,Strategic Grants
3,"År
2024",Rubina Raja,"Beløb
DKK 500,000",Forskningspris 2024 - Personlig bevilling,Institution,004,Strategic Grants
4,"År
2024",Irina Hron,"Beløb
DKK 76,000",Skin Manuscripts,"Institution
University of Copenhagen",005,Conferences
5,"År
2024",Mark de Vos,"Beløb
DKK 5,000,000",Fellowships for Scholars At Risk from Ukrainian Universities (SARU),"Institution
University of Copenhagen",006,Strategic Grants
6,"År
2024",Michael Kirkedal Thomsen,"Beløb
DKK 51,400",Nordic Workshop on Programming Theory 2024,"Institution
University of Copenhagen",007,Conferences
7,"År
2024",Martin Axel Blufstein Garcia,"Beløb
DKK 80,000",Young Geometric Group Theory XIII,"Institution
University of Copenhagen",008,Conferences
8,"År
2024",Jonas Elm,"Beløb
DKK 44,322",Nordic Society for Aerosol Research (NOSA) Symposium,"Institution
Aarhus University",009,Conferences
9,"År
2024",Morten Meldal,"Beløb
DKK 77,800",Chemical Solutions to Structural Biology symposium (CSSB),"Institution
University of Copenhagen",010,Conferences
10,"År
2024",Kim Rewitz,"Beløb
DKK 80,000","International Insect Hormone Workshop (IIHW) in Copenhagen, 2025","Institution
University of Copenhagen",011,Conferences
11,"År
2024",John R. Hopper,"Beløb
DKK 80,000",Inge Lehmann Symposium: Illuminating Earth's Interior,"Institution
University of Copenhagen",012,Conferences
12,"År
2024",Bryan Yazell,"Beløb
DKK 73,900",Narratives for Change: Exploring Climate Fiction and Eco-Literacy in Action,"Institution
University of Southern Denmark",013,Conferences
13,"År
2024",Friedolin Merhout,"Beløb
DKK 99,220",Silicon Sampling for Social Science Experiments (S4E),"Institution
University of Copenhagen",014,"Field Trips / Research Stays < 100,000"
14,"År
2024",Christina Lubinski,"Beløb
DKK 60,420",Entrepreneurialism and Social Inequality in Comparative Perspective,"Institution
Copenhagen Business School",015,"Field Trips / Research Stays < 100,000"
15,"År
2024",Laura Skouvig,"Beløb
DKK 25,000",Building the state with information 1660-1848,"Institution
University of Copenhagen",016,"Field Trips / Research Stays < 100,000"
16,"År
2024",Christophe HELMKE,"Beløb
DKK 74,450","Archaeological Expedition to Lamanai, Belize","Institution
University of Copenhagen",017,"Field Trips / Research Stays < 100,000"
17,"År
2024",Oliver Krancher,"Beløb
DKK 96,500","Knowledge Overlap, Iterative Development, and Machine Learning Project Success","Institution
IT University of Denmark",018,"Field Trips / Research Stays < 100,000"
18,"År
2024",Lucía López Zurita,"Beløb
DKK 79,752",EU law and its disconnections from society,"Institution
University of Copenhagen",019,Conferences
19,"År
2024",Olympia Bobou,"Beløb
DKK 80,000",Carving the Individual,"Institution
Aarhus University",020,Conferences
20,"År
2024",Selma Kadic-Maglajlic,"Beløb
DKK 86,400",Advancing Sales Research in Denmark through International Collaboration,"Institution
Copenhagen Business School",021,"Field Trips / Research Stays < 100,000"
21,"År
2024",Christian D. Pedersen,"Beløb
DKK 66,200",Talking Empire – Prime Ministers and the National Image in Post-Imperial Britain,"Institution
University of Southern Denmark",022,"Field Trips / Research Stays < 100,000"
22,"År
2024",Holger Schulze,"Beløb
DKK 79,936",How to Study Sound?,"Institution
University of Copenhagen",023,Conferences
23,"År
2024",Anne Mette Thorhauge,"Beløb
DKK 79,976",The Economic lives of platforms,"Institution
University of Copenhagen",024,Conferences
24,"År
2024",Louise Mønster,"Beløb
DKK 124,732",Seek no truth here. Henrik Nordbrandt's oeuvre,"Institution
Aalborg University",025,Publication
25,"År
2024",Birte Poulsen,"Beløb
DKK 75,650",Contextualising the past in the Alban Hills (Colli Albani),"Institution
Aarhus University",026,Conferences
26,"År
2024",Mette Thunø,"Beløb
DKK 95,400",Constructing China as an Emigration State,"Institution
Aarhus University",027,"Field Trips / Research Stays < 100,000"
27,"År
2024",Julie Laursen,"Beløb
DKK 56,730",Pockets of Punitiveness in the Welfare State,"Institution
University of Copenhagen",028,Conferences
28,"År
2024",Natalie Koerner,"Beløb
DKK 78,000",Building Early Modern Privacy Conference,"Institution
University of Copenhagen",029,Conferences
29,"År
2024",Morten Tønsberg Limborg,"Beløb
DKK 60,000",Uncovering hidden microbes from the salmon gut,"Institution
University of Copenhagen",030,"Field Trips / Research Stays < 100,000"
30,"År
2024",David Alejandro Duchene Garzon,"Beløb
DKK 98,740",Decolouring the planet: how animal communication is shaped by tree plantations,"Institution
University of Copenhagen",031,"Field Trips / Research Stays < 100,000"
31,"År
2024",Signe Barfoed,"Beløb
DKK 250,000",Rediscovering Artemis,Institution,032,Publication
32,"År
2024",Daniel Russo,"Beløb
DKK 80,000",The 2nd Copenhagen Symposium on Human-Centered Software Engineering AI,"Institution
Aalborg University",033,Conferences
33,"År
2024",Mads Bertelsen,"Beløb
DKK 80,000",European Spallation Source Data Management and Software Centre Summer School,"Institution
European Spallation Source Data Management and Software Centre",034,Conferences
34,"År
2024",Daniel Murnane,"Beløb
DKK 79,850",HAMLET-PHYSICS International Workshop 2024,"Institution
University of Copenhagen",035,Conferences
35,"År
2024",Kristoffer Szilas,"Beløb
DKK 95,000",Revisiting the oldest evidence for life on Earth,"Institution
University of Copenhagen",036,"Field Trips / Research Stays < 100,000"
36,"År
2024",Dorte Juul Jensen,"Beløb
DKK 50,000","44th Risø International Symposium on Materials Science: “Metal Microstructures and Additive Manufacturing""","Institution
Technical University of Denmark",037,Conferences
37,"År
2024",Katarzyna Stoklosa,"Beløb
DKK 89,000",A Resilient Europe - Learning from Borderlanders,"Institution
University of Southern Denmark",038,"Field Trips / Research Stays < 100,000"
38,"År
2024",Mikhail Suslov,"Beløb
DKK 100,000",Geopolitical ideology of the Russian emigration in the interwar period,"Institution
University of Copenhagen",039,"Field Trips / Research Stays < 100,000"
39,"År
2024",Eelco Glas,"Beløb
DKK 42,300",Home and Displacement: Perspectives from the Ancient Mediterranean and West Asia (6th Century BCE-2nd Century CE),"Institution
Aarhus University",040,Conferences
40,"År
2024",Alexander Josiassen,"Beløb
DKK 99,000",Challenging Party and Sex Tourism Images: Case Studies from Manila and Bali,"Institution
Copenhagen Business School",041,"Field Trips / Research Stays < 100,000"
41,"År
2024",Poul Poder,"Beløb
DKK 81,000",Contemporary love and intimacy,"Institution
University of Copenhagen",042,"Field Trips / Research Stays < 100,000"
42,"År
2024",Iryna MARCHUK,"Beløb
DKK 80,000",Easternisation: Regionalisation of International Law and Global Reordering,"Institution
University of Copenhagen",043,Conferences
43,"År
2024",Sarah Scott Ford,"Beløb
DKK 79,400",Expert Roundtable Workshop on Rethinking Mobility Law,"Institution
University of Copenhagen",044,Conferences
44,"År
2024",Efram Sera-Shriar,"Beløb
DKK 79,956","Otherworldly Entertainment: A Cultural Study of Horror, Magic and the Occult in Videogames","Institution
University of Copenhagen",045,Conferences
45,"År
2024",Lian Malai Madsen,"Beløb
DKK 80,000","10th Explorations in Ethnography, Language and Communication","Institution
University of Copenhagen",046,Conferences
46,"År
2024",Stine Haakonsson,"Beløb
DKK 95,000",Research stay and fieldwork at Stanford University Autumn 2024,"Institution
Copenhagen Business School",047,"Field Trips / Research Stays < 100,000"
47,"År
2024",Caroline Bertram,"Beløb
DKK 1,060,000",Greening Through Trade: Exploring Trade Partners' Perceptions and Perspectives on EU Unilateral Trade-Climate Policies,"Institution
University of Cambridge",048,Internationalisation Fellowships
48,"År
2024",Valeria Dessy,"Beløb
DKK 900,000",Being a monk in the midst of the world: An Analysis of Ascetism in Twentieth-Century Catholicism and Protestantism in the thought of Ernesto Buonaiuti and Adolf von Harnack,"Institution
Lund University",049,Internationalisation Fellowships
49,"År
2024",Søren Frank Jensen,"Beløb
DKK 450,000","Mines, Oceans, Comets. Natural Hazards between Individual Agency and Communal Responsibility in Religious Texts (1550–1650)","Institution
Universität Hamburg",050,Internationalisation Fellowships
50,"År
2024",Christian Anker Rosiek,"Beløb
DKK 900,000",Macroscopic quantum mechanics through laser-induced nonlinearity,"Institution
AMOLF, Netherlands",051,Internationalisation Fellowships
51,"År
2024",Mads Jørgensen Hansen,"Beløb
DKK 900,000",Revisiting Causation: The Role of Goal-Directed Transitions in Biology,"Institution
Bristol University",052,Internationalisation Fellowships
52,"År
2024",Frederik Ravn Klausen,"Beløb
DKK 1,020,000",Fluctuating Random Surfaces in Magnetic Systems,"Institution
Princeton University, University of Cambridge",053,Internationalisation Fellowships
53,"År
2024",Helene Borregaard Stephensen,"Beløb
DKK 1,020,000",Psychosis between alienation and institution: Rethinking the spaces of care,"Institution
École normale supérieure, Paris, France",054,Internationalisation Fellowships
54,"År
2024",Daniel Damgaard,"Beløb
DKK 450,000","The Forum of Ostia. The political and religous centre, 27 BCE - 117 CE","Institution
German Archaeological Institute in Rome",055,Internationalisation Fellowships
55,"År
2024",Rasmus Harsbo,"Beløb
DKK 900,000",Negotiating Neo-nationalist University Imaginaries and Geopolitical Class Cleavages in Denmark and Poland,"Institution
Adam Mickiewicz University, Poland",056,Internationalisation Fellowships
56,"År
2024",Jonathan Ditlevsen,"Beløb
DKK 1,020,000",Symmetry breaking in higher rank,"Institution
University of Tokyo",057,Internationalisation Fellowships
57,"År
2024",Anders Andersen,"Beløb
DKK 550,000",Rethinking Mood: A Radically New Approach to Romance Mood,"Institution
The university in Turin",058,Internationalisation Fellowships
58,"År
2024",Victor Lange,"Beløb
DKK 1,000,000",Rumination: The attention pattern of depression?,"Institution
University of Oslo",059,Internationalisation Fellowships
59,"År
2024",Nicolai Waldstrøm,"Beløb
DKK 1,020,000",Redistributive Automation and Inequality,"Institution
University of Zurich",060,Internationalisation Fellowships
60,"År
2024",Mads Bjerregaard Kristensen,"Beløb
DKK 900,000",QuRAM-Mech: Quantum RAM with Mechanical Oscillators,"Institution
Chalmers University of Technology",061,Internationalisation Fellowships
61,"År
2024",Moisès Coll Macià,"Beløb
DKK 1,100,000",Localizing ancient samples in space and time from genetics with Machine Learning methods,"Institution
Evolutionary Biology Institute (IBE), Spanish National Research Council (CSIC) and Pompeu Fabra University (UPF).",062,Internationalisation Fellowships
62,"År
2024",Mads Ejsing,"Beløb
DKK 1,020,000",Democratic innovations and social tipping points: Can citizens’ assemblies create systemic change?,"Institution
Stockholm Resilience Centre at Stockholm University",063,Internationalisation Fellowships
63,"År
2024",Lauritz Munch,"Beløb
DKK 1,220,000",Understanding Informed Consent,"Institution
London School Of Economics, UK",064,Internationalisation Fellowships
64,"År
2024",Oda-Kange Midtvåge Diallo,"Beløb
DKK 900,000","Joining in black study: Theories, practices, pedagogies across Europe","Institution
Erasmus University Rotterdam",065,Internationalisation Fellowships
65,"År
2024",Anne-Sofie Dichman,"Beløb
DKK 1,000,000",Vibrant Energy: On the Entanglements of Nuclear Power and Gender Identities (VIBE),"Institution
École des Hautes Études en Sciences Sociales (EHESS), Paris",066,Internationalisation Fellowships
66,"År
2024",René Tronsgaard,"Beløb
DKK 1,220,000",Unearthing Earth-like Worlds: The Terra Hunting Experiment,"Institution
University of Cambridge, United Kingdom",067,Internationalisation Fellowships
67,"År
2024",Maiken Skovrider Aaskoven,"Beløb
DKK 450,000",The Domino Effect: Parental Health Shocks and Children’s Health Outcomes,"Institution
Monash Business School, Monash University",068,Internationalisation Fellowships
68,"År
2024",Rasmus Nielsen,"Beløb
DKK 1,120,000",HIGHLIGHT - HIGH-throughput engineering of semiconductors for optimized LIGHT and energy technologies,"Institution
EMPA - Swiss Federal Laboratories for Materials Science and Technology",069,Internationalisation Fellowships
