Year,Reciever,Grant size (DKK),Description,Translated Description,Country
2022,The University Court of the University of Edinburgh ,3004000,Understanding the Impact of LEGO Braille Brickson Learners with Significant Visual Impairment: An International Study,Understanding the Impact of LEGO Braille Brickson Learners with Significant Visual Impairment: An International Study,SCOTLAND
2022,The Danish National Committee for UNICEF ,1243000,Piloting LEGO Braille Bricks for Inclusive Education in Africa,Piloting LEGO Braille Bricks for Inclusive Education in Africa,DENMARK
2022,Ubongo International ,6782000,"Creating Inclusive, Learning through Play Edutainment for Neurodivergent Kids Across Africa","Creating Inclusive, Learning through Play Edutainment for Neurodivergent Kids Across Africa",UNITED STATES
2022,Vorbasse School ,250000,"Social-, emotional-, and academic wellbeing for all students","Social-, emotional-, and academic wellbeing for all students",DENMARK
2022,The University of the West Indies ,1474000,Reach Up and Learn 2.0: preparation for the scaling in the Jamaican health system & global knowledge sharing and capacity-sharing,Reach Up and Learn 2.0: preparation for the scaling in the Jamaican health system & global knowledge sharing and capacity-sharing,JAMAICA 
2022,UNICEF,7398000,LEGO PLAY BOXES - As a tool of Learning Through Play ,LEGO PLAY BOXES - As a tool of Learning Through Play,DENMARK
2020,University of Cambridge,1206759,A research programme in Ethiopia to provide a holistic view of learning and student wellbeing for assessing learning loss in the context of the current pandemic.,A research programme in Ethiopia to provide a holistic view of learning and student wellbeing for assessing learning loss in the context of the current pandemic.,UNITED KINGDOM
2020,Tufts University,670854,"The LEGO Foundation will work with an Assistant Professor from Tufts University to provide the LEGO Foundation with research on the impact of a teacher and children’s development and learning based online teacher professional development platform. The research fellow will also provide external academic evidence on the usability and impact on this platform for teachers and students. This online platform will be a free open access digital platform with no ecommerce, no licenses, and no requirements of product purchase .","The LEGO Foundation will work with an Assistant Professor from Tufts University to provide the LEGO Foundation with research on the impact of a teacher and children’s development and learning based online teacher professional development platform. The research fellow will also provide external academic evidence on the usability and impact on this platform for teachers and students. This online platform will be a free open access digital platform with no ecommerce, no licenses, and no requirements of product purchase .",UNITED STATES
2020,UNICEF ,8347831,"The partnership with Education Cannot Wait is an effort to triple the number of children reached with early learning opportunities and to triple the investment for playful early learning opportunities in crisis settings. Education Cannot Wait, is a pooled fund designed to accelerate education funding in conflict and crisis setting, is a powerful mechanism to influence donors and implementers alike for more playful early learning opportunities.","The partnership with Education Cannot Wait is an effort to triple the number of children reached with early learning opportunities and to triple the investment for playful early learning opportunities in crisis settings. Education Cannot Wait, is a pooled fund designed to accelerate education funding in conflict and crisis setting, is a powerful mechanism to influence donors and implementers alike for more playful early learning opportunities.",UNITED STATES
2020,Sesame Humanitarian,156917884,"In partnership with Sesame Workshop, BRAC and IRC, the Play to Learn grant aims to support the transformation of the humanitarian sector by establishing play -based, early childhood develo pment (ECD) programming as an essential component of every humanitarian response targeting children (0 -6) and their caregivers affected by displacement in Bangladesh, Jordan, and Lebanon.","In partnership with Sesame Workshop, BRAC and IRC, the Play to Learn grant aims to support the transformation of the humanitarian sector by establishing play -based, early childhood develo pment (ECD) programming as an essential component of every humanitarian response targeting children (0 -6) and their caregivers affected by displacement in Bangladesh, Jordan, and Lebanon.",UNITED STATES
2020,United World Schools,828613,"This grant will enable UWS to continue providing education for UWS students age d 4-12 via distance learning programmes in Cambodia, Myanmar and Nepal.","This grant will enable UWS to continue providing education for UWS students age d 4-12 via distance learning programmes in Cambodia, Myanmar and Nepal.",UNITED KINGDOM
2020,Tsinghua University,2374750,"This grant to Tsinghua University Lifelong Learning Lab contributes to the LEGO Foundation’s Experience Team’s aim to develop and demonstrate Learning through Play (LtP) across ages 0 -12. Given the influence and reach of Tsinghua University among educators and decision -makers in China, the objective of the gra nt is to create a hub for creative, hands -on learning in China.","This grant to Tsinghua University Lifelong Learning Lab contributes to the LEGO Foundation’s Experience Team’s aim to develop and demonstrate Learning through Play (LtP) across ages 0 -12. Given the influence and reach of Tsinghua University among educators and decision -makers in China, the objective of the gra nt is to create a hub for creative, hands -on learning in China.",CHINA
2020,University of South DK,2718600,The purpose of this project is to follow the complex processes of rethinking the playful learning environments in kindergartens and schools in order to learn from the COVID -19 experiences based on the idea of ‘building back better’.,The purpose of this project is to follow the complex processes of rethinking the playful learning environments in kindergartens and schools in order to learn from the COVID -19 experiences based on the idea of ‘building back better’.,DENMARK
2020,Aarhus University,1423277,"This grant is a follow -up action to the presentation and discussion of the Knowledge Centre The purpose of the collaboration with the Interacting Minds Centre at the School of Culture and Society, Aarhus University, is to conduct basic and applied research into the properties and mechanisms of playful learning experiences. The aim is to develop tools and methods for documenting, evaluating and measuring play and learning experiences and expand the research network and access to competences on learning through play based on the expertise at the School of Culture and Society, the Interacting Minds Centre and Aarhus University.","This grant is a follow -up action to the presentation and discussion of the Knowledge Centre The purpose of the collaboration with the Interacting Minds Centre at the School of Culture and Society, Aarhus University, is to conduct basic and applied research into the properties and mechanisms of playful learning experiences. The aim is to develop tools and methods for documenting, evaluating and measuring play and learning experiences and expand the research network and access to competences on learning through play based on the expertise at the School of Culture and Society, the Interacting Minds Centre and Aarhus University.",DENMARK
2020,University of South DK,601700,"The purpose of this project is to investigate the social -emotional experiences of children, as they are re -entering the learning environment during the controlled reopening (phase 2) of society, and the way different settings or conditions in the children’s learning environments affect the social -emotional experiences of the children.","The purpose of this project is to investigate the social -emotional experiences of children, as they are re -entering the learning environment during the controlled reopening (phase 2) of society, and the way different settings or conditions in the children’s learning environments affect the social -emotional experiences of the children.",DENMARK
2020,University College Lillebælt,1074675,"The project has allowed the design of a new diploma module – Play, creativity and learning – which has tested with in-service pedagogues from Billund and Esbjerg municipalities and finetuned for future use on a larger scale.","The project has allowed the design of a new diploma module – Play, creativity and learning – which has tested with in-service pedagogues from Billund and Esbjerg municipalities and finetuned for future use on a larger scale.",DENMARK
2020,University College Copenhagen,5945456,"This project explores the capacity of Learning through Play for supporting professional development training delivered by the Danish University College s sector , generate s knowledge around the use of Play Labs for capa bility building , and seeks to identify the mechanisms for changing attitudes and practices toward playful learning.","This project explores the capacity of Learning through Play for supporting professional development training delivered by the Danish University College s sector , generate s knowledge around the use of Play Labs for capa bility building , and seeks to identify the mechanisms for changing attitudes and practices toward playful learning.",DENMARK
2020,University College Copenhagen,20310000,The purpose of this grant is to improve the teaching and facilitation quality at the University Colleges in Denmark by developing specific playful learning pedagogy targeting students and future professionals who will be working with children aged 0 -15.,The purpose of this grant is to improve the teaching and facilitation quality at the University Colleges in Denmark by developing specific playful learning pedagogy targeting students and future professionals who will be working with children aged 0 -15.,DENMARK
2020,The International School of Billund,1134537,Providing the international school in Billund ISB funding for operation of the school and supporting learning through play.,Providing the international school in Billund ISB funding for operation of the school and supporting learning through play.,DENMARK
2020,The International School of Billund,6200000,This grant covers the core school operations of the international school in Billund ISB.,This grant covers the core school operations of the international school in Billund ISB.,DENMARK
2020,The International School of Billund,31200000,The grant ensures that the international school in Billund ISB provides a high-quality international education facility in Billund the Capital of Children.,The grant ensures that the international school in Billund ISB provides a high-quality international education facility in Billund the Capital of Children.,DENMARK
2020,Specialisterne,1000000,"The project aims to create a positive attitude to include all people and create inclusion models for autistic/neurodiverse students in mainstream classrooms. The Specialisterne grant will establish the platform for students, using different LEGO tools, modern technology, and mentor models to individualise inclusion for students from when they start school at 6 years of age.","The project aims to create a positive attitude to include all people and create inclusion models for autistic/neurodiverse students in mainstream classrooms. The Specialisterne grant will establish the platform for students, using different LEGO tools, modern technology, and mentor models to individualise inclusion for students from when they start school at 6 years of age.",DENMARK
2020,UNHCR,5576000,"To support learning and growth. Focusing on identifying, curating, and disseminating LtP content and approaches, these activities build the capacity of educators and families to support children within continuous learning efforts both at home and with teachers in Ethiopia, Kenya and Zambia.","To support learning and growth. Focusing on identifying, curating, and disseminating LtP content and approaches, these activities build the capacity of educators and families to support children within continuous learning efforts both at home and with teachers in Ethiopia, Kenya and Zambia.",DENMARK
2020,UNICEF,13877656,Caregivers are reached globally with messages about the importance of play for children’s development during COVID -19 through the #Earlymomentsmatter campaign and partnership with Sesame Workshop .,Caregivers are reached globally with messages about the importance of play for children’s development during COVID -19 through the #Earlymomentsmatter campaign and partnership with Sesame Workshop .,DENMARK
2020,War Child Holland,885120,War Child will ensure that children in Lebanon can benefit from psychosocial support through play. Children will have the opportunity to learn through play in parallel to their usual curriculum with positive impact on their well -being and development,War Child will ensure that children in Lebanon can benefit from psychosocial support through play. Children will have the opportunity to learn through play in parallel to their usual curriculum with positive impact on their well -being and development,NETHERLANDS
2020,Worldbank,3328400,"The Early Learning Partnership Emergency Funding call will provide small grants (up to USD 50,000) to Worldbank country teams to include support to young children and their families within response activities globally","The Early Learning Partnership Emergency Funding call will provide small grants (up to USD 50,000) to Worldbank country teams to include support to young children and their families within response activities globally",UNITED STATES
2020,The World Bank,12922506,This is a contribution to the Early Learning Partnership Multi-Donor Trust Fund managed by the World Bank.,This is a contribution to the Early Learning Partnership Multi-Donor Trust Fund managed by the World Bank.,UNITED STATES
2020,The Brookings Institution,3844284,The grant is a three -and-a-half year project with the Brookings Center for Universal Education (CUE) to help decision -makers be better equipped to identify and understand innov ative playful learning practices that have the potential to transform education progress.,The grant is a three -and-a-half year project with the Brookings Center for Universal Education (CUE) to help decision -makers be better equipped to identify and understand innov ative playful learning practices that have the potential to transform education progress.,UNITED STATES
