;Year;Reciever;Grant size (DKK);Description;Region;Project Category;Project Subcategory
0;2022;Thisted Friskole;"Støttet med
250.000 kr.";Klatrebane, som kan skabe mødesteder i bevægelse;Region Nordjylland;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
1;2022;Viborg Private Realskole;"Støttet med
700.000 kr.";Udeareal til byskole;Region Midtjylland;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
2;2022;Hillerød Kommune;"Støttet med
127.500 kr.";Etablering af bålhytte;Region Hovedstaden;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
3;2022;Fritidsklubben Furesøgård;"Støttet med
291.550 kr.";Furesøgård Superdrivhus;Region Hovedstaden;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
4;2022;Rødding Friskole;"Støttet med
697.312 kr.";Motorik og bevægelsesområde i Rødding Friskoles SFO;Region Syddanmark;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
5;2022;Friskolen Østerlars;"Støttet med
1.000.000 kr.";De frie og meningsfulde bæredygtige fællesskaber;Region Hovedstaden;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
6;2022;Vesthimmerlands Kommune;"Støttet med
493.459 kr.";Faglighed og fællesskab i udeområdet;Region Nordjylland;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
7;2022;Aarhus Kommune;"Støttet med
250.000 kr.";Udeliv og bevægelse - et boost;Region Midtjylland;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
8;2022;Furesø Kommune;"Støttet med
180.000 kr.";Udemiljø til Lillestjernen;Region Hovedstaden;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
9;2022;Vejle Kommune;"Støttet med
228.600 kr.";Væk fra skærmen på Skibet Skole i Vejle;Region Syddanmark;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
10;2022;Fjaltring Friskole;"Støttet med
897.922 kr.";Drømmeskolegård til Fjaltring Friskoles SFO og Klub;Region Midtjylland;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
11;2022;Skive Kommune;"Støttet med
1.000.000 kr.";Hem – Grønne hjerter i fælles bevægelse;Region Midtjylland;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
12;2022;Varde Kommune;"Støttet med
244.000 kr.";Udeliv for alle;Region Syddanmark;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
13;2022;Steno Skolen;"Støttet med
253.350 kr.";Det spirende udeliv;Region Sjælland;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
14;2022;Haderslev Kommune;"Støttet med
120.000 kr.";Vi klatrer og bygger huler;Region Syddanmark;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
15;2022;Kolding Kommune;"Støttet med
250.000 kr.";Lyshøjskolens SFO – Midtpunkt for aktivt Udeliv;Region Syddanmark;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
16;2022;Morsø Kommune;"Støttet med
425.000 kr.";Nye støttepunkter til mere udeliv i Nykøbing Mors;Region Nordjylland;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
17;2022;Vester-Skerninge Friskole;"Støttet med
775.000 kr.";Liv på legepladsen i Vester-Skerninge Friskoles SFO og Klub;Region Syddanmark;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
18;2022;Sigerslevøster Privatskole;"Støttet med
452.000 kr.";Multibane i Sigerslevøster;Region Hovedstaden;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
19;2022;Strynø Børnepasningsordning Skattekisten S/I;"Støttet med
282.945 kr.";Ude-klatremiljø til Strynøs skolebørn;Region Syddanmark;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
20;2022;Sydbornholms Privatskole;"Støttet med
748.552 kr.";Udeliv og læring i SFO og Klub på Sydbornholms Privatskole;Region Hovedstaden;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
21;2022;Nærum Privatskole;"Støttet med
163.207 kr.";Naturen ind på legepladsen - sansning, leg og læring;Region Hovedstaden;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
22;2022;Den Selvejende Institution Tønning-Træden Friskole;"Støttet med
911.836 kr.";Mere udeliv på Børnenes Jord;Region Midtjylland;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
23;2022;Herlev Kommune;"Støttet med
600.000 kr.";Udeleg, bevægelse og fællesskaber - hverdag i trivsel;Region Hovedstaden;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
24;2022;Privatskolen i Frederikshavn;"Støttet med
921.275 kr.";Mere udeliv i SFO;Region Nordjylland;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
25;2022;Slagelse Kommune;"Støttet med
150.000 kr.";Mere udeliv i Korsør Junior- og Ungdomsklub.;Region Sjælland;MERE UDELIV I SFO OG KLUB;Faciliteter og aktiviteter
