Year,Reciever,Grant size (DKK),Description,Translated Description,Project Category
2024, Svendborg Kommune,96.501 kr.,Skæreprinter,Cutting printer," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Odense Kommune,70.000 kr.,"Ansøgning om lasercutter fra børn, unge og science: GRO-puljen","Application for laser cutter from children, young people and science: The GRO pool"," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Albertslund Kommune,31.168 kr.,Brug af virtual reality og digital simulering i naturfagsundervisningen,Use of virtual reality and digital simulation in science teaching," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Københavns Kommune,40.575 kr.,Teknologi og affald,Technology and waste," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Greve Kommune,99.275 kr.,"Havet, verdens lunger","The sea, the lungs of the world"," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Randers Kommune,73.975 kr.,Formning af Unge Sind: Muliggør innovation gennem et Makerlab,Shaping Young Minds: Enabling Innovation Through a Makerlab," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Holstebro Kommune,40.580 kr.,Makerspace og billedkunst,Makerspace and visual arts," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Thisted Kommune,85.000 kr.,Grøn omstilling - et minisamfund i øjenhøjde,Green transition - a mini-society at eye level," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Randers Kommune,42.290 kr.,IDEudviklingiKREA,IDEdevelopmentiKREA," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Randers Kommune,61.950 kr.,"RoboRecycler, en vej til Lego League","RoboRecycler, a path to the Lego League"," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Aalborg Kommune,80.913 kr.,Teknologien skaber viden om naturen,Technology creates knowledge about nature," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Vordingborg Kommune,44.325 kr.,Grøn energi - Power-To-X,Grøn energi - Power-To-X," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Køge Kommune,43.885 kr.,Mordet på skolelederen - Specialstyrkerne indsættes,The murder of the school principal - The special forces are deployed," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Hørsholm Kommune,100.000 kr.,STEAM Makers Space på Hørsholm Lille Skole,STEAM Makers Space at Hørsholm Lille Skole," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Jammerbugt Kommune,99.525 kr.,Den nære natur (på skolens område),The close nature (on the school grounds)," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Ringkøbing-Skjern Kommune,45.000 kr.,Bæredygtigt emballage-design,Sustainable packaging design," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Thisted Kommune,45.000 kr.,Det 21. århundredes kompetencer og Lego Spike Education,21st Century Skills and Lego Spike Education," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Bornholms Regionskommune,70.669 kr.,Undervisning i virkeligheden - undulater på Svartingedal Skole,Teaching in real life - budgies at Svartingedal School," Børn, unge og science Undersøgende, virkelighedsnær naturfagsundervisning"
2024, Aarhus Universitet,1 mio. kr.,Villum Mobility - Family Support,Villum Mobility - Family Support, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2024, Foreningen Københavns Lysfestival,300.000 kr.,Copenhagen Light Festival 2024 - Kunstnerisk markering af tidens store temaer,Copenhagen Light Festival 2024 - Artistic celebration of the major themes of the time, Kultur og samfund Andre projekter
2024, Københavns Kommune,726.035 kr.,Etablering af glasparti på Thorvaldsens Museum,Establishment of a glass section at Thorvaldsens Museum, Kultur og samfund Andre projekter
2024, De Unges Hus,25.000 kr.,"Nye vinduer til ""Vilde Liv""","New windows for ""Wild Life""", Kultur og samfund Andre projekter
2024, SOS Børnebyerne,25 mio. kr.,Children's Living Places,Children's Living Places, Kultur og samfund Andre projekter
2024, Morsø Kommune,846.209 kr.,Karrusellen - ansøgning om en tillægsbevilling til projekt nr. 37259),The Carousel - Application for an additional grant for project no. 37259), Kultur og samfund Dagslys og frisk luft
2024, Motion i Dagtimerne,100.000 kr.,Reetablering af en ødelagt et år gammel udendørs multibane,Restoration of a destroyed one-year-old outdoor multi-purpose court, Kultur og samfund Dagslys og frisk luft
