,Receiver / Title,Project Category,Year,Grant Size (DKK)
0,Slagelse Festuge,Skadeforebyggelse,2023,25000
1,Løgumkloster friv. Brandværn,Skadeforebyggelse,2023,35000
2,SEGES Innovation P/S,Skadeforebyggelse,2023,398000
3,Musikværket Ry - Gnisten,Skadeforebyggelse,2023,46500
4,Støtteforeningen for frivillige brand-& akuthjælpere Skarø,Skadeforebyggelse,2023,31000
5,Hjerteforeningen,Skadeforebyggelse,2023,200000
6,Hjerteforeningen,Skadeforebyggelse,2023,1500000
7,Bolderslev Frivillige Brandværn,Skadeforebyggelse,2023,28200
8,Hellebro,Skadeforebyggelse,2023,50000
9,Naturskolen MIR,Børn & familie,2021,100000
10,Team Rynkeby Fonden,Børn & familie,2023,25000
11,SIND Rådgivning,Børn & familie,2023,200000
12,Børns Voksenvenner,Børn & familie,2023,100000
13,Stomiforeningen COPA,Børn & familie,2023,200000
14,Piece of,Børn & familie,2023,45000
15,Haver til Maver,Børn & familie,2023,300000
16,Aarhus Universitetshospital,Børn & familie,2023,50000
17,Danmarks Indsamling c/o Røde Kors,Børn & familie,2023,100000
18,HILLERØD GOLFKLUB,Børn & familie,2023,20000
19,"Kommunikation, Amager og Hvidovre Hospital",Børn & familie,2023,100000
20,Vejle Kommune,Børn & familie,2023,40000
21,DR - P3 Missionen: Hvad gør dig glad?,Børn & familie,2023,5000000
22,ODENSE KOMMUNE,Børn & familie,2023,38000
23,ADHD-Foreningen,Børn & familie,2023,100000
24,Foreningen Trampolinhuset 2021,Børn & familie,2023,100000
25,Slagelse sygehus,Børn & familie,2023,50000
26,Østifterne f.m.b.a. - God Start på Familielivet,Børn & familie,2023,2500000
27,Region Sjælland,Børn & familie,2023,500000
28,Kirkernes Familiehjælp i Randers,Børn & familie,2023,50000
29,Trafik i Børnehøjde ApS,Børn & familie,2023,195000
30,Fri af Misbrug,Børn & familie,2023,3500971
31,Joannahuset,Børn & familie,2023,3197000
32,Decibel,Børn & familie,2023,100000
33,Støtteforeningen Asgaard,Børn & familie,2023,50000
34,Hvidovre Hospital,Børn & familie,2023,100000
35,Røde Kors,Børn & familie,2023,100000
36,Teaterskolen Kastali'a,Børn & familie,2023,30000
37,Ryslinge Høj- og Efterskole,Børn & familie,2023,29000
38,Lejr 10 Kongelejren,Børn & familie,2023,90000
39,Broen Greve,Børn & familie,2023,50000
40,Broen Guldborgsund,Børn & familie,2023,50000
41,Thisted Kommune,Børn & familie,2023,50000
42,Foreningen Cool East,Børn & familie,2023,40000
43,BYGGEFORENINGEN AF 1933,Børn & familie,2023,20000
44,SCLEROSEFORENINGEN,Børn & familie,2023,318000
45,Børnecentret Æblet,Børn & familie,2023,10000
46,SVØMMEKLUBBEN KVIK KASTRUP,Børn & familie,2023,30000
47,BØRNESAGENS FÆLLESRÅD,Børn & familie,2023,50000
48,Kirkens Korshær,Børn & familie,2023,100000
49,LANDSFORENINGEN LÆNKEN,Børn & familie,2023,89000
50,CIK Brydeklub,Børn & familie,2023,40000
51,Krisecenter Nuuk,Børn & familie,2023,40280
52,Cystisk Fibrose Foreningen,Børn & familie,2023,75000
53,Foreningen Human Rise,Børn & familie,2023,99000
54,Teaterskolen Kastali'a,Børn & familie,2023,10000
55,Østifterne f.m.b.a. - P3 Missionen,Børn & familie,2023,300000
56,"Center for Ungdomsforskning, Aalborg Universitet",Børn & familie,2023,200000
57,Blå Kors Danmark,Børn & familie,2023,100000
58,Bagenkop Idrætsforening,Børn & familie,2023,50000
59,Forælder Fonden,Børn & familie,2023,200000
60,Ungdommens Røde Kors,Børn & familie,2023,50000
61,Frelsens Hær,Børn & familie,2023,100000
62,Foreningen Den Boligsociale Fond,Børn & familie,2023,99000
63,"Bymestervej 10, 3 sal",Børn & familie,2023,50000
64,JULEMÆRKEFONDEN,Børn & familie,2023,3931004
65,Røde Kors,Børn & familie,2023,200000
66,Bryd Tavsheden,Børn & familie,2023,250000
67,København Vineyard,Børn & familie,2023,50000
68,Brug Bolden Danmark,Børn & familie,2023,75000
69,Landsforeningen Talentspejderne,Børn & familie,2023,100000
70,Odense Bibliotekerne,Børn & familie,2023,30000
71,KFUM-SPEJDERNE I DANMARK,Børn & familie,2023,15000
72,Fonden Gaia Krisecenter,Børn & familie,2023,995000
73,Østerbyskolen,Børn & familie,2023,50000
74,FRAK,Børn & familie,2023,570778
75,Danmarks Indsamling,Børn & familie,2023,100000
76,I N I A/S,Børn & familie,2023,15000
77,Barndrømmen,Børn & familie,2023,39350
78,Centerafdelingens forældreforening,Børn & familie,2023,50000
79,FONDEN UNGES,Børn & familie,2023,170000
80,Forlaget Pedro ApS,Børn & familie,2023,60000
81,Østifterne Almennyttig f.m.b.a - Grønland,Børn & familie,2023,33000000
82,"Røde Kors, Kirkernes Sociale Arbejde, Fristedet, Kirkens Korshær, Fonden det Nytter",Børn & familie,2023,25000
83,Matematikcenter,Uddannelse,2023,50000
84,INTERNATIONAL MEDICAL COOPERAT COMMITTEE,Uddannelse,2023,278350
85,ReDI School of Digital Integration -DK-,Uddannelse,2023,75000
86,Odense Universitetshospital,Uddannelse,2023,250000
87,Studerendes Anæstesiologiske og Traumatologiske Selskab,Uddannelse,2023,50770
