,Year,Reciever,Grant size (DKK),Description,Receiver Name,Receiver Proffession,Project Category
0,2024,University of Copenhagen,,Genetiske Studier og Præcisionsmedicin i Behandlingen af Svær Epilepsi: Fokus på GABRB3-Varianten,Cordelia Lindhard Smidth,NA,
1,2024,NA,,Noah vil undersøge lymfesystemets rolle i lungeskader hos spædbørn med medfødt hjertesygdom,Noah Nilsson,NA,
2,2024,University of Copenhagen,,Knæk og bræk: Holder dine knogler stærke hele livet!,Clarissa Schmal,NA,
3,2024,Aalborg University,,Forskningsprojekt vil afdække genetiske årsager til stråleresistens ved endetarmskræft,Munalisa Begum,NA,
4,2024,NA,,Valdemar vil undersøge forbindelsen mellem kronisk hudsygdom og øget risiko for hjertekarsygdom,Valdemar Wendelboe Nielsen,NA,
5,2024,Aarhus University,2.192.592 DKK,MOOD-MD: Integrating multi-omic data to advance the biological understanding of mental disorders,Clara Albiñana,POSTDOC,Postdocs
6,2024,Rigshospitalet,2.450.000 DKK,PET Radiotracer Development for the BDNF Signaling Pathway,Cassis Varlow,POSTDOC,Postdocs
7,2024,Technical University of Denmark,2.395.389 DKK,Understanding nucleic-acid modulation of protein condensates in neurodegenerative diseases,Sophie Hertel,POSTDOC,Postdocs
8,2024,Aarhus University,2.399.969 DKK,Targeting peptide drugs based on the activity state of synapses,Francisca Pinheiro,POSTDOC,Postdocs
9,2024,Technical University of Denmark,2.600.000 DKK,Metabolic imaging for functional studies of the brain,Rie Beck Olin,POSTDOC,Postdocs
10,2024,Aarhus University,2.400.000 DKK,ARS2-controlled transcriptional regulation during neuronal differentiation,Ane Amundarain Iraola,POSTDOC,Postdocs
11,2024,Mental Health Services in the Capital Region of Denmark,2.374.300 DKK,Beyond Point Estimates: Exploring Cortical Thickness Uncertainty from Clinical Psychiatric MRI Scans,Stefano Cerri,POSTDOC,Postdocs
12,2024,Aarhus University,2.399.967 DKK,Dysfunction of Synaptic Ubiquitin Signaling in Schizophrenia.,Silvia Turchetto,POSTDOC,Postdocs
13,2024,Amager and Hvidovre Hospital,2.500.000 DKK,Stimulating deep – new insights into human motor inhibition (STIM-DEEP),Mikkel Malling Beck,POSTDOC,Postdocs
14,2024,Herlev Hospital,2.400.000 DKK,Deciphering T-cell reactivity and regulation in glioblastoma to improve immunotherapy,Christopher Chamberlain,POSTDOC,Postdocs
15,2024,University of Copenhagen,2.399.467 DKK,"A novel pipeline for drug repurposing, applied to neurological diseases",Trinh Trung Duong Nguyen,POSTDOC,Postdocs
16,2024,Technical University of Denmark,2.382.589 DKK,PreSeizAlert: Development of a Real-time EEG-based Epileptic Seizure Prediction Device,Sonsoles Alonso Martinez,POSTDOC,Postdocs
17,2024,University of Copenhagen,2.470.766 DKK,Inter-tissue communication driving salivary gland initiation and branching morphogenesis.,Marta Perera,PHD FELLOW,Postdocs
18,2024,University of Copenhagen,2.500.000 DKK,Integrating AI and Microscopy to Uncover the Structure and Function of the Genome,Jacob Kæstel-Hansen,POSTDOC,Postdocs
