,Year,Reciever,Grant size (DKK),Description,Location,Receiver Proffession
0,2024,Christian Torp-Pedersen,DKK 1.500.000,,Nordsjællands Hospital,Professor
1,2024,Fredrik Folke,DKK 9.955.000,Addressing the societal health burden of sudden cardiac arrest – a translational approach,Copenhagen Emergency Medical Services,Professor
2,2024,"Associate Professor, Yoshiki Narimatsu",DKK 10.000.000,GlycoReader – Exploring how to read the human glycome,"Department of Cellular and Molecular Medicine, University of Copenhagen",
3,2024,Søren Sørensen,DKK 59.295.278,Evaluating Microbiome Based Applications for Risk Quantification (EMBARQ),University of Copenhagen,Ph.D
4,2024,Jørgen Wojtaszewski,DKK 59.961.322,Defining the Human Insulin Resistance Molecular Network; SIGNATURE,University of Copenhagen,
5,2024,Nina Cedergreen,DKK 59.999.991,ENSAFE: ENvironmental SAFEty of biotechnological plant protection products based on short interfering RNA and peptides,University of Copenhagen,Ph.D.
6,2024,Henrik Larsson,DKK 59.667.060,Disentangling the effect of Brain Insulin Resistance on Brain Health: The BIR-BrainHealth Project,Rigshospitalet,
7,2024,Christian Schnepel,DKK 9.786.501,Bio-ATEAM: Innovating Biocatalytic Gateways Towards Amide and Carbon Couplings - Unlocking Acyl Transfer Enzymes for Carboxylic Acid Modification,KTH Royal Institute of Technology,Ph.D.
8,2024,Jacob Kæstel-Hansen,DKK 3.996.720,"Integrating AI, Physics, and Microscopy to Uncover the Structure and Function of the Genome","MIT, University of Copenhagen",Ph.D. student
9,2024,Jesper Velgaard Olsen,DKK 49.999.021,Mass spectrometry of proteins and their modifications in single cells: an avenue to revolutionize biomedicine,"Department of Molecular and Cellular Medicine, University of Copenhagen",Professor
10,2024,University of Copenhagen,DKK 137.235.406,BRIDGE – Translational Excellence Programme (BRIDGE III),University of Copenhagen,
11,2024,"Associate Professor, Frederic Gachon",DKK 20.000.000,Deciphering the role of circadian rhythms disruption on the pathophysiology of metabolic diseases,"Institute for Molecular Bioscience, Aarhus University",
12,2024,Henrik Schytz,DKK 9.917.724,Unraveling cerebrospinal fluid dynamics and disease mechanisms in spontaneous intracranial hypotension,Rigshospitalet,Chief Physician
13,2024,Pim Van Den Hoven,DKK 9.942.484,Improving outcome in patients with a diabetic foot ulcer using multimodal assessment of foot perfusion and a clinical registry – the PODO-MAP project.,Rigshospitalet,Senoir Resident
14,2024,Professor Henrik Dimke,DKK 9.985.395,Calcium-Sensing Receptor Signaling: Molecular Mechanisms of Pathogenesis in Kidney Stone Disease,"Department of Molecular Medicine, Syddansk Universitet",
15,2024,Ditte Welner,DKK 9.834.103,GlycoExtreme: Glycosyltransferases from extremophiles as robust biocatalysts,Technical University of Denmark,Ph.D.
16,2024,Olivier Van Aken,DKK 9.517.222,“Harnessing ‘Touch’ responses in plants to improve yield and sustainable agricultural practices”,Lund University,Ph.D.
17,2024,Professor Stine Helene Falsig Pedersen,DKK 9.997.558,"Integrating spatial transcriptomics, live tumor microenvironment imaging and focused CRISPR screens for transformative insights in cancer biology","Department of Biology, University of Copenhagen",
18,2024,Assistant Professor Verena Untiet,DKK 10.000.000,Astrocytic chloride as key modulator of excitation/inhibition balance in healthy and diseased brain,"Center for Translational Neuroscience, University of Copenhagen",
19,2024,Henriette Lyng Røder,DKK 9.994.769,Bacterial Communities to Reduce Plant Food Loss,University of Copenhagen,Ph.D.
20,2024,Anne Hammer Lauridsen,DKK 9.994.209,Unravelling the molecular mechanisms in viral transformation and progression of HPV-related disease,Regionshospitalet Gødstrup,Associate Professor
21,2024,Yunhong Che,DKK 3.995.806,General Data Physics Coupling Pipeline for Next-generation Battery Modeling and Monitoring to Enhance Human Health and Sustainability,"MIT, Aalborg University",Ph.D. student
22,2024,Ph.D. student Shokouh Arjmand,DKK 3.998.156,The ins and outs of “eat-me” signaling in exaggerated synaptic pruning in schizophrenia,"Department of Clinical Medicine, Aarhus University",
23,2024,Bjørn Panyella Pedersen,DKK 9.998.589,Sugar and auxin transport in plant growth - Controlling selectivity,Aarhus Universitet,Ph.D.
24,2024,Nicolai Albrechtsen,DKK 9.984.956,Impact of glucagon signaling on brain metabolism and function in diabetes and dementia,Bispebjerg Hospital,
25,2024,Kristian Kragholm,DKK 9.975.000,Integrating electrocardiogram and other prehospital diagnostics to improve patient outcomes,Aalborg Universitetshospital,Associate Professor
26,2024,Nina Kimer,DKK 9.285.127,"Drink out, live longer: Molecular mechanisms of recompensation in alcohol-related liver disease.",Hvidovre Hospital,Medical Specialist
27,2024,Thomas Corydon,DKK 9.999.600,REVOLUTION-AMD: Harnessing Gene Therapy for Treatment of Age-Related Macular Degeneration,Aarhus University,Professor
28,2024,Rigmor Hoejland Jensen,DKK 9.960.000,Regulation of intracranial pressure and it’s relation to sex and obesity with idiopathic intracranial hypertension as a disease model,Rigshospitalet,Professor
29,2024,Grethe Ueland,DKK 9.824.000,"Autonomous cortisol secretion, a frequent cause of metabolic  syndrome?",Haukeland University Hospital,
30,2024,Signe Sørensen Torekov,DKK 10.000.000,FutureShape Family – AI-Enhanced Family Interventions Paving the Way for Sustainable Childhood Well-being,University of Copenhagen,
31,2024,Pawel Michal Lycus,DKK 9.956.975,Novel biotechnology for improved nitrous oxide mitigation and nitrogen retention in agricultural soils - NoN2O,Norwegian University of Life Sciences,Ph.D.
32,2024,Boston University,USD 25.000.000,Supporting early-stage product development of innovative tools to fight AMR,Boston University,
33,2024,København Universitet - Institut for Plante- og Miljøvidenskab,DKK 4.455.387,Biosolutions Master’s programme in Kalundborg,København Universitet - Institut for Plante- og Miljøvidenskab,
34,2024,Senior Researcher Alessandra Brambati,DKK 9.999.986,Balancing act: The role of non-canonical DSB repair pathways in genome stability and diversity,"Molecular Biology Program, Memorial Sloan Kettering Cancer Center",
35,2024,Jacob Tfelt,DKK 9.993.648,Sudden cardiac death: Genetics and prediction,Rigshospitalet,Professor
36,2024,Nationalmuseet,DKK 4.974.229,Healthy Plastics from Waste,Nationalmuseet,
37,2024,"Associate Professor, Jannick Snel-Prentoe",DKK 10.000.000,Structure-guided vaccine development for hepatitis C virus envelope glycoprotein homodimers,"Faculty of Health and Medical Sciences, University of Copenhagen",
38,2024,Krister Wennerberg,DKK 9.999.992,Catching the cellular plasticity in glioblastoma (CATCH-GBM),University of Copenhagen,Professor
39,2024,Lykke Sylow,DKK 9.999.976,Unveiling the coordination between the mitochondrial and cytosolic translatomes in muscle to mitigate metabolic dysfunctions,University of Copenhagen,
40,2024,Anna Krook,DKK 9.963.000,Inter-tissue communication in regulation of metabolism: Implications for type 2 diabetes,Karolinska Institute,
41,2024,Kirsten Grønbæk,DKK 9.996.436,"Age-related diseases: causes, mechanisms and consequences of mutated blood cells with multiple aberrations",University of Copenhagen,Professor
42,2024,Postdoc Frederik Friis Theisen,DKK 3.999.230,Exposing the Molecular Mechanisms of Tardigrade Extremotolerance,"Department of Biology, University of Copenhagen",
43,2024,"Associate Professor, Lisa Frankel",DKK 9.999.758,Revealing novel insights into stress-induced transcriptome reprogramming,Danish Cancer Institute,
44,2024,Postdoc Tang Cam Phung Pham,DKK 3.913.886,"Exploring molecular foundations of exercise, pharmacological, and nutritional strategies to mitigate sarcopenia","Department of Biomedical Sciences, University of Copenhagen",
45,2024,Jazmin Ramos Madrigal,DKK 9.947.884,Disentangling the interplay between plant genomes and their symbiotic bacteria during domestication,University of Copenhagen,Ph.D.
46,2024,Postdoc Elena Zavala,DKK 9.999.999,Characterizing individuals and evolutionary history with sediment DNA,"Department of Molecular and Cell Biology, University of California (Berkeley)",
47,2024,Assistant Professor Freja Herborg,DKK 9.999.666,Neural substrates of social impairments: How ancient emotional networks interact,"Department of Neuroscience, University of Copenhagen",
48,2024,Lars Rolighed,DKK 10.000.000,Molecular profiling of thyroid tumors: improving diagnostics and outcome through individualized treatment,Aarhus Universitetshospital,Associate Professor
49,2024,Anette Wolff,DKK 9.996.000,Cytokine autoantibodies reveal monogenic inheritance of endocrine autoimmunity,Haukeland University Hospital,
50,2024,Jakob Werner Hansen,DKK 9.506.647,Deciphering Vexas Syndrome through a Clinical Trial and Translational Research,Rigshospitalet,Resident
51,2024,Niels Banhos Danneskiold-Samsøe,DKK 10.000.000,Discovery and exploration of novel peptide hormones using pathogenicity prediction,University of Copenhagen,
52,2024,Inger Lise Gade,DKK 9.997.849,Exploring exhaled breath biomarkers for non-invasive diagnostics showcased by stroke and pulmonary embolism,Aalborg Universitetshospital,Resident
53,2024,Research Scientist Max Theo Ben Clabbers,DKK 10.000.000,Unraveling native crystalline pathologies using in situ electron crystallography,"Department of Biological Chesmity, University of California",
54,2024,Kyung Min Noh,DKK 20.000.000,Chromatin mechanisms of neurodevelopment and disease,"Department of Biomedicine, Aarhus University",
55,2024,Johan Larsbrink,DKK 9.999.861,Discovering biological tools for conversion of bark and its extractives into new products,Chalmers University of Technology,Ph.D.
56,2024,Anniek Lubberding,DKK 10.000.000,"Let’s not PASs on a novel, unique, cardiac-safe drug target for type 2 diabetes: The PAS domain of K+ channel Kv11.1",University of Copenhagen,
57,2024,Diego Balboa,DKK 9.981.878,Unravelling genome regulatory mechanisms of human pancreas development to improve stem cell-derived islets,University of Helsinki,
58,2024,Joanna Rorbach,DKK 10.000.000,Regulation of mitochondrial translation: from fundamental understanding to the development of new therapies,Karolinska Institute,
59,2024,Andreas Erbs Hillers-Bendtsen,DKK 3.309.175,First Principles Simulation of Photoinduced Processes in Proteins,"Stanford Bio-X, University of Copenhagen",Ph.D. student
60,2024,Novo Nordisk Foundation,DKK 600.000,2024 PAD Henipavirus Drug Discovery Convening,Novo Nordisk Foundation,
61,2024,Michelle Jansman,DKK 4.000.000,Macroporous Hydrogels with Oxygen-releasing Nanoparticles for Bone Regeneration,"Stanford Bio-X, Technical University of Denmark",Postdoc
62,2024,Marija Petkovic,DKK 421.401,Integrative Omics Strategy to Propose Biomarkers and Elucidate Mechanisms of Chronic Diabetic Foot Ulceration: A Pathway to Clinical Implementation,Steno Diabetes Center Copenhagen,Postdoc
63,2024,European Association for the Study of Obesity,DKK 360.000,Donation to EASO 2024,European Association for the Study of Obesity,
64,2024,Viktoria Schuster,DKK 2.731.079,CaMMI: identifying Causality in clinical Multi-modal models through Mechanistic Interpretability,"MIT, University of Copenhagen",Postdoc
65,2024,Fortified Whole Grain Alliance (FWGA),DKK 700.000,Scaling up the work of the Fortified Whole Grain Alliance,Fortified Whole Grain Alliance (FWGA),
66,2024,Delta40,DKK 459.706,East Africa Innovation Basecamp,Delta40,
67,2024,Leticia Hosta-Rigau,DKK 13.999.103,Bioaugmented red blood cells (RBCs): Native RBCs empowered with catalytic exoskeletons to withstand freeze-drying,"Technical University of Denmark, Department of Health Technology",
68,2024,Christoffer Clemmensen,DKK 6.000.000,Peptide-drug conjugates for treatment of fatty liver disease,University of Copenhagen,Associate Professor
69,2024,Kristian Strømgaard,DKK 999.002,"Selective regulation of presynaptic GABAB receptors, as a novel principle for treatment of mild cognitive impairment",University of Copenhagen,Professor
70,2024,Nayere Taebnia,DKK 3.739.092,Humanizing models of tissue crosstalk to illuminate metabolic dysfunction-associated fatty liver disease,"MIT, Technical University of Denmark",Postdoc
71,2024,David Reiner-Link,DKK 4.000.000,Decoding the Proteomic Secrets of Dopamine D2 Receptor Gene Variants,"Stanford Bio-X, University of Copenhagen",Postdoc
72,2024,Nina Molin Høyland-Kroghsbo,DKK 999.663,AntibacteRial Metabolic hIjackiNG – ARMING,University of Copenhagen,Associate Professor
73,2024,Isaac Afara,DKK 999.998,A smart photonics-based sensor for intra-operative diagnosis of articular cartilage pathology during joint surgery: JEDI,University of Eastern Finland,Associate Professor
74,2024,Peter Kristensen,DKK 5.988.570,Fungal Infections fought by Fungal Antibodies (FIFA),Aalborg Universitet,Professor
75,2024,Steven Wilson,DKK 1.000.000,"""Pharmacokinetics-on-chip"": An optimization study",University of Oslo,Professor
76,2024,Giovanni Pantuso,DKK 10.070.969,ODD: Optimization under Decision-Dependent uncertainty,"University of Copenhagen, Department of Mathematical Sciences",
77,2024,Mogens Høgh Jensen,DKK 9.960.665,Condensate Formations and Oscillatory Protein Concentrations in Cell Regulation,"University of Copenhagen, Niels Bohr Institute",
78,2024,Tejs Vegge,DKK 999.112,RECRUIT Sabbatical grant for Professor Tejs Vegge,"Technical University of Denmark, Department of Energy Conversion and Storage",Professor
79,2024,Ulrik Stenz Justesen,DKK 999.705,Novel diagnostic approach to find people at risk and early stages of colorectal cancer,Odense Universitetshospital,Professor
80,2024,Britt Borregaard,DKK 7.499.524,The LICA Research Programme,Odense Universitetshospital,Associate Professor
81,2024,Caroline Dahlberg,DKK 999.872,RECRUIT Sabbatical grant for Professor Caroline Dahlberg,"University of Copenhagen, Department of Biology",Professor
82,2024,I/S Amager Ressourcecenter,DKK 850.000,National information initiative on carbon capture and storage (CCS),I/S Amager Ressourcecenter,
83,2024,Peter Vesborg,DKK 12.123.000,Selenium-Silicon Tandem Solar Cell,"Technical University of Denmark, Department of Physics",
84,2024,David Basin,DKK 1.000.000,RECRUIT Sabbatical grant for Professor David Basin,"University of Copenhagen, Department of Computer Science",Professor
85,2024,Jens Stougaard,DKK 5.995.266,High throughput Virtual 3D quantification of microbial Infections of Plant tissues (HVIP),Aarhus University,Professor
86,2024,Rikard Holmdahl,DKK 5.953.250,A new type of vaccine for autoimmune disease,Karolinska Institute,Professor
87,2024,Mads Clausen,DKK 13.994.066,SHARPSYN - Sharpening synthetic chemical tools by targeting Nature’s most complex glycan,"Technical University of Denmark, Department of Chemistry",
88,2024,Christian Vægter,DKK 1.000.000,Selective Modulation of injury-specific Connexins in Satellite Glial Cells for Targeted Neuropathic Pain Treatment,Aarhus University,Associate Professor
89,2024,Robert Spencer,DKK 998.538,RECRUIT Sabbatical grant for Professor Robert Spencer,"Aarhus University, Department of Environmental Science",Professor
90,2024,Handful of Films Inc.,DKK 59.720,Science talk “Ancient DNA – Stealing from the Past to Save the Future” and reception,Handful of Films Inc.,
91,2024,Massimiliano Bonomi,DKK 600.000,RECRUIT Sabbatical grant for Senior Researcher Massimiliano Bonomi,"University of Copenhagen, Department of Biology",Senior Researcher
92,2024,Tais W. Dahl,DKK 12.000.000,Metals for life – tracking exchange of bioessential elements between cells and their environment,"University of Copenhagen, Globe Institute",
93,2024,Michael Pittelkow,DKK 12.123.000,Frustrated water in molecular recognition,"University of Copenhagen, Department of Chemistry",
