,Year,Receiver,Grant size (DKK),Description,Project Category
0,2024,Kunstnernes Påskeudstilling,100.000,Kunstnernes Påskeudstilling – KP24,Samtidskunst
1,2024,Ars Nova Copenhagen,700.000,Tilknytning af Sofi Jeannin som ny chefdirigent for Ars Nova Copenhagen,Klassisk musik
2,2024,Det Blå Sted,316.784,Ungeindsatsen,Unges mentale sundhed
3,2024,Glad Fonden,1.824.408,Forebyggelse af mistrivsel hos unge med kognitive handicap,Unges mentale sundhed
4,2024,Foreningen Opera på Grænsen,200.000,Operaen FRANCISKA,Klassisk musik
5,2024,Vontrapp,60.000,Mother Soldier,Klassisk musik
6,2024,Golden Days,200.000,Kunstprogram på Bloom – festival om natur og videnskab 2024,Samtidskunst
7,2024,figur s/i,220.000,Klassisk på Kanten (Aarhus) & Klassisk på Kajen (Odense) – flydende koncerter i havnen,Klassisk musik
8,2024,Aarhus Kammerorkester,200.000,Støtte til tre koncertprojekter i 2024,Klassisk musik
9,2024,Nikolaj Kunsthal,1.667.000,Fortsættelse af udstillingsrummet Platform for unge kunstnere og kuratorer i Nikolaj Kunsthal,Samtidskunst
10,2024,Kirkens Korshær,3.000.000,Fremtidens Herberg Aalborg,Nordjylland
11,2024,Motherboard,600.000,Kun stemmen bliver tilbage,Klassisk musik
12,2024,Himmelev Sogns Menighedsråd,500.000,Kirkedør til Trekroner Kirke,Samtidskunst
13,2024,Opera i Rebild,150.000,Opera i Rebild,Klassisk musik
14,2024,Foreningen for Kunstnerdrevet Udstillingssted i Vordingborg,200.000,Orthunga,Samtidskunst
15,2024,TietgenSkolen,370.000,Stedsspecifik og permanent udsmykning af TietgenSkolens nye campus,Samtidskunst
16,2024,Copenhagen Photo Festival,400.000,Copenhagen Photo Festivals 15 års jubilæum 6.-16. juni 2024,Samtidskunst
17,2024,Ønskeland,3.600.000,Ønskeland – Et pausehus for alvorlig og kronisk syge børn og deres familier,Nordjylland
18,2024,Københavns Museum,165.000,Udvikling af lydkunstværk af Jacob Kirkegaard til Københavns Museum,Samtidskunst
19,2024,De Frivilliges Hus Aalborg,1.778.384,Bro for Dig – brobygning for STU-elever til frivillige fællesskaber,Nordjylland
20,2024,Copenhagen Contemporary,1.000.000,Marta Minujín: INTENSIFY LIFE,Samtidskunst
21,2024,Aalborg Pirates,3.142.230,Fritidshelte,Unges mentale sundhed
22,2024,Kammermusikfestival på Lundsgaard Gods Kerteminde,600.000,Kammermusik på Lundsgaard 2024-2026,Klassisk musik
23,2024,Josefine Opsahl,200.000,EKKO – en mytisk og kønsdivers opera,Klassisk musik
24,2024,Festival & Friends,450.000,Festival & Friends (Treårig støtte 2024-2026),Klassisk musik
25,2024,K!ART,75.000,K!ART Ensemble for new music and performance art 2024,Klassisk musik
26,2024,BYGGEFORENINGEN AF 1933,66.445,Fede Fællesskaber i Byg 33.,Unges mentale sundhed
27,2024,Golden Days,150.000,ARBEJDSTID – Et nyt værk af Christian Falsnaes til Golden Days Festival,Samtidskunst
28,2024,Fonden Chart,200.000,CHART 2024 – det offentlige program,Samtidskunst
29,2024,"Kunstnernes Efterårsudstilling, v/bestyrelsesmedlem Laura Stamer",75.000,Kunstnernes Efterårsudstilling 2024,Samtidskunst
30,2024,K!ART,100.000,MINU_festival_for_expanded_music 2024,Klassisk musik
31,2024,Det Kgl. Bibliotek,640.000,Fotokunst i Den Sorte Diamant 2.0.,Samtidskunst
32,2024,Psykiatrien- Region Nordjylland,29.991.024,Best for You-DK,Nordjylland
33,2024,NEKO3,100.000,NEKO3 activities 2025-26,Klassisk musik
34,2024,KØS Museum for kunst i det offentlige rum,1.800.000,KØS UDSTILLINGSPROGRAM 2024 – 2026,Samtidskunst
35,2024,Kaj Arne Peter Pedersen,6.000,Legat – tidligere CW Obels Støttefond,Nordjylland
36,2024,Maciej Plocharski,25.000,Det Obelske Familiefonds Undervisningspris,Nordjylland
37,2024,Jannie Sønderkær Nielsen,50.000,Det Obelske Familiefonds Undervisningspris,Nordjylland
38,2024,Giorgio Bacci,25.000,Det Obelske Familiefonds Undervisningspris,Nordjylland
39,2024,Marie Jull Sørensen,25.000,Det Obelske Familiefonds Undervisningspris,Nordjylland
