,Receiver,Description,Country,Year,Grant Size (DKK),Category
0,Seniors without Borders (DK),Safe water for 2 schools and their local communities,Uganda,2016,1948,Safe Water
1,Practical Action (UK),"Safe drinking water – solar energy project for more than 20,000 people",Malawi,2016,3651,Safe Water
2,Oxfam GB (UK),"Safe water – replacing of borehole, servicing up to 30,000 people",Jordan,2016,827,Safe Water
3,Sunlit Future (IN),"Safe and improved water to 28 villages and more than 7,000 people",India,2016,1350,Safe Water
4,Water Mission (US),"Safe and affordable drinking water to 250,000 refugees in Nyarugusu, Mtendeli and Karagwe",Tanzania,2016,37364,Safe Water
5,Water Aid (UK),"12 solar powered water supply systems, reaching more than 50,000 people in rural communities",Mozambique,2016,3000,Safe Water
6,Norwegian Church Aid (NO),Safe water to Marembo Health Centre and two nearby communities,Burundi,2016,1334,Safe Water
7,Water Mission,Hurricane Matthew Disaster Response,Haiti,2016,1000,Safe Water
8,DGI (DK),"“Friendly” network of sports associations; attracting, retaining and integrating refugees and other vulnerable people",Denmark,2016,637,Social Responsibility (inclusion)
9,KIT (DK),Contact families to refugees – helping to give refugees a better start of their life in Denmark,Denmark,2016,350,Social Responsibility (inclusion)
10,Del Maden (Share the Food) (DK),Share the food – refrigerated van,Denmark,2016,100,Social Responsibility (inclusion)
11,DGI (DK),Inclusion ambassadors – focus on making it possible for refugees and other vulnerable people to participate in local sports associations,Denmark,2016,2450,Social Responsibility (inclusion)
12,Aarhus 2017 (DK),Inclusion of vulnerable groups among Aarhus 2017 volunteers,Denmark,2016,1000,Social Responsibility (inclusion)
13,Dan Church Aid (DK),WeFood and WeWater,Denmark,2016,1000,Social Responsibility (inclusion)
14,Mødrehjælpen (DK),Christmas Donation,Denmark,2016,200,Social Responsibility (inclusion)
15,Frelsens Hær (DK),Christmas Donation,Denmark,2016,200,Social Responsibility (inclusion)
16,Fonden Børnehjælpsdagen (DK),Christmas Donation,Denmark,2016,200,Social Responsibility (inclusion)
17,Naturvidenskabernes Hus (DK),Inspiring natural science for teachers and students,Denmark,2016,3000,RESEARCH & LEARNING (ACTIVE OWNERSHIP)
18,Aarhus University (DK),State-of-the-art laboratory for new internationally competitive research group within wireless trans- ceiver applications,Denmark,2016,2500,RESEARCH & LEARNING (ACTIVE OWNERSHIP)
19,Aalborg University (DK),2016 Grundfos Prize,Denmark,2016,750,RESEARCH & LEARNING (ACTIVE OWNERSHIP)
20,Prof. Kim Guldstrand Larsen,2016 Grundfos Prize,Denmark,2016,250,RESEARCH & LEARNING (ACTIVE OWNERSHIP)
21,Various Grundfos employees,2016 Poul Due Jensen Innovation Awards and Scholarships,Several countries,2016,410,RESEARCH & LEARNING (ACTIVE OWNERSHIP)
