,Foundation_name,Receiver,Description,Grant size (DKK),Project Subcategory,Project Category,Year,Title,Receiver + Title,Institution,Region,Translated Description,Country,Receiver Name,Receiver Profession
3044,AUGUSTINUS,,i den Nye Salmebog.,,Kunst og Kultur,Koncerter,2020,,,,,,,,
3059,AUGUSTINUS,,samt at udvide kendskabet til klassisk musik i nye samfundslag.,,Kunst og Kultur,Koncerter,2020,,,,,,,,
3116,AUGUSTINUS,Festival,,,Kunst og Kultur,Koncerter,2020,,,,,,,,
3159,AUGUSTINUS,,Lindholm.,,Kunst og Kultur,Koncerter,2020,,,,,,,,
3190,AUGUSTINUS,,fortrinsvis benyttes til at aflønne professionelle solister og orkestermusikere.,,Kunst og Kultur,Koncerter,2020,,,,,,,,
3245,AUGUSTINUS,,barokstrygeensemble.,,Kunst og Kultur,Koncerter,2020,,,,,,,,
3447,AUGUSTINUS,,sommeren 2021.,,Kunst og Kultur,"Musikdramatik, opera",2020,,,,,,,,
3516,AUGUSTINUS,,og humanistiske fagområder og udgør således en tværfaglig samtale.,,Kunst og Kultur,Litteratur,2020,,,,,,,,
3596,AUGUSTINUS,,Primer.,,Kunst og Kultur,Kunstudstillinger og design,2020,,,,,,,,
3611,AUGUSTINUS,,november til 6. december 2020.,,Kunst og Kultur,Kunstudstillinger og design,2020,,,,,,,,
3652,AUGUSTINUS,,fotografiet ' i 2021.,,Kunst og Kultur,Museer og kulturarv,2020,,,,,,,,
3681,AUGUSTINUS,,som formidler digitalt til museets brugere.,,Kunst og Kultur,Museer og kulturarv,2020,,,,,,,,
3811,AUGUSTINUS,,Krisecenter.,,Sociale Indsatser,Sociale formål,2020,,,,,,,,
3826,AUGUSTINUS,,Danmark samt fastholdelse af det frivillige engagement.,,Sociale Indsatser,Sociale formål,2020,,,,,,,,
4166,AUGUSTINUS,,koncerter: Aarhus d.14 januar 2022 og Kolding d.15 januar 2022.,,Kunst og Kultur,Koncerter,2021,,,,,,,,
4698,AUGUSTINUS,Modtager navn,Beskrivelse,Bevilget beløb,,,,,,,,,,,
5539,AUGUSTINUS,Støttemodtager,Titel på projekt,Bevilget beløb,Kategori,,Årstal,,,,,,,,
16758,LEO," Carsten Flohr, King's College Londo",, 10000000,,,,Global Atopic Dermatitis Atlas (GADA),,,,,,,
16759,LEO," Charlotte Skott, Professionshøjskolen Absalo",, 2500872,,,,On track (På sporet – elever i 2. klasse lærer tal og algebra med læringsspor),,,,,,,
16760,LEO," Marie Erbs Ørbæk, CPH:DOX",, 980000,,,,Science in reality (Videnskab i virkeligheden),,,,,,,
16761,LEO," Maiken Lykke, Naturvidenskabernes Hus",, 2000000,,,,Natural Science Marathon (Naturfagsmarathon),,,,,,,
16762,LEO," Niels Hartling, Science Olympiad",, 1800000,,,,The Science Olympiads (Science Olympiaderne),,,,,,,
16763,LEO," Clarissa Schwab, Associate Professor, Aarhus University",, 3910741,,,,Influence of dietary derived gut microbial metabolites on skin barrier and atopic dermatitis development in early life (Infant AD),,,,,,,
16764,LEO," Caroline Le Poole, Professor, Northwestern University",, 2979828,,,,Microbial impact on vitiligo development,,,,,,,
16765,LEO," Ivan Litvinov, Associate Professor, McGill University Health C",, 3074290,,,,Striving to develop and implement culturally sensitive dermatologic care with the focus on eczema and psoriasis in the Cree Territory of James Bay (Eeyou Istchee),,,,,,,
16766,LEO," Blaine Fritz, Postdoc, University of Copenhag",, 2956179,,,,High-resolution identification of bacterial-host interactions in atopic dermatitis during flare development and treatment,,,,,,,
16767,LEO," Ludvig Sollid, Professor, University of Oslo",, 3996277,,,,Dissecting the immunopathogenesis of Dermatitis Herpetiformis – a blistering skin disorder,,,,,,,
16778,LEO," Associate Professor Kiarash Khosrotehrani, University of Queensland",, AUD 268239,,,,The natural history of skin cancer formation: from normal skin to cancer,,,,,,,
16779,LEO," Associate Professor Kiarash Khosrotehrani, University of Queensland",, AUD 415386,,,,Preventing Basal Cell Carcinoma formation by targeting the tumor environment,,,,,,,
16780,LEO," Mikkel Bohm, Young Scientists (Astra)",, 3000000,,,,Young Scientists,,,,,,,
16781,LEO," Department of Pharmacy, University of Copenhag",, 40000000,,,,LEO Foundation Center for Cutaneous Drug Delivery,,,,,,,
16782,LEO, Dr. Christina Zielinski,, 500000,,,,The LEO Foundation Award 2014 – Silver Award,,,,,,,
16783,LEO, Dr. Kim B. Jens,, 1000000,,,,The LEO Foundation Award 2014 – Gold Award,,,,,,,
16784,LEO," Professor Lone Skov, Department of Dermato-Allergology, Gentofte Hospital",, 4500000,,,,Psoriasis in children,,,,,,,
16785,LEO, Dr. Muzlifah Haniff,, 500000,,,,The LEO Foundation Award 2013 – Silver Award,,,,,,,
16786,LEO, Dr. Onur Boym,, 1000000,,,,The LEO Foundation Award 2013 – Gold Award,,,,,,,
16787,LEO," Professor Martin Steinhoff, University of California San Francisco",,2594115,,,,Identification and Characterization of Key Itch Mediators and Receptors in Human Pruitus,,,,,,,
16798,LEO," Associate Professor Kiarash Khosrotehrani, University of Queensland",, AUD 268239,,,,The natural history of skin cancer formation: from normal skin to cancer,,,,,,,
16799,LEO," Associate Professor Kiarash Khosrotehrani, University of Queensland",, AUD 415386,,,,Preventing Basal Cell Carcinoma formation by targeting the tumor environment,,,,,,,
16800,LEO," Mikkel Bohm, Young Scientists (Astra)",, 3000000,,,,Young Scientists,,,,,,,
16801,LEO," Department of Pharmacy, University of Copenhag",, 40000000,,,,LEO Foundation Center for Cutaneous Drug Delivery,,,,,,,
16802,LEO, Dr. Christina Zielinski,, 500000,,,,The LEO Foundation Award 2014 – Silver Award,,,,,,,
16803,LEO, Dr. Kim B. Jens,, 1000000,,,,The LEO Foundation Award 2014 – Gold Award,,,,,,,
16804,LEO," Professor Lone Skov, Department of Dermato-Allergology, Gentofte Hospital",, 4500000,,,,Psoriasis in children,,,,,,,
16805,LEO, Dr. Muzlifah Haniff,, 500000,,,,The LEO Foundation Award 2013 – Silver Award,,,,,,,
16806,LEO, Dr. Onur Boym,, 1000000,,,,The LEO Foundation Award 2013 – Gold Award,,,,,,,
16807,LEO," Professor Martin Steinhoff, University of California San Francisco",,2594115,,,,Identification and Characterization of Key Itch Mediators and Receptors in Human Pruitus,,,,,,,
16818,LEO," Associate Professor Kiarash Khosrotehrani, University of Queensland",, AUD 268239,,,,The natural history of skin cancer formation: from normal skin to cancer,,,,,,,
16819,LEO," Associate Professor Kiarash Khosrotehrani, University of Queensland",, AUD 415386,,,,Preventing Basal Cell Carcinoma formation by targeting the tumor environment,,,,,,,
16820,LEO," Mikkel Bohm, Young Scientists (Astra)",, 3000000,,,,Young Scientists,,,,,,,
16821,LEO," Department of Pharmacy, University of Copenhag",, 40000000,,,,LEO Foundation Center for Cutaneous Drug Delivery,,,,,,,
16822,LEO, Dr. Christina Zielinski,, 500000,,,,The LEO Foundation Award 2014 – Silver Award,,,,,,,
16823,LEO, Dr. Kim B. Jens,, 1000000,,,,The LEO Foundation Award 2014 – Gold Award,,,,,,,
16824,LEO," Professor Lone Skov, Department of Dermato-Allergology, Gentofte Hospital",, 4500000,,,,Psoriasis in children,,,,,,,
16825,LEO, Dr. Muzlifah Haniff,, 500000,,,,The LEO Foundation Award 2013 – Silver Award,,,,,,,
16826,LEO, Dr. Onur Boym,, 1000000,,,,The LEO Foundation Award 2013 – Gold Award,,,,,,,
16827,LEO," Professor Martin Steinhoff, University of California San Francisco",,2594115,,,,Identification and Characterization of Key Itch Mediators and Receptors in Human Pruitus,,,,,,,
16838,LEO," Associate Professor Kiarash Khosrotehrani, University of Queensland",, AUD 268239,,,,The natural history of skin cancer formation: from normal skin to cancer,,,,,,,
16839,LEO," Associate Professor Kiarash Khosrotehrani, University of Queensland",, AUD 415386,,,,Preventing Basal Cell Carcinoma formation by targeting the tumor environment,,,,,,,
16840,LEO," Mikkel Bohm, Young Scientists (Astra)",, 3000000,,,,Young Scientists,,,,,,,
16841,LEO," Department of Pharmacy, University of Copenhag",, 40000000,,,,LEO Foundation Center for Cutaneous Drug Delivery,,,,,,,
16842,LEO, Dr. Christina Zielinski,, 500000,,,,The LEO Foundation Award 2014 – Silver Award,,,,,,,
16843,LEO, Dr. Kim B. Jens,, 1000000,,,,The LEO Foundation Award 2014 – Gold Award,,,,,,,
16844,LEO," Professor Lone Skov, Department of Dermato-Allergology, Gentofte Hospital",, 4500000,,,,Psoriasis in children,,,,,,,
16845,LEO, Dr. Muzlifah Haniff,, 500000,,,,The LEO Foundation Award 2013 – Silver Award,,,,,,,
16846,LEO, Dr. Onur Boym,, 1000000,,,,The LEO Foundation Award 2013 – Gold Award,,,,,,,
16847,LEO," Professor Martin Steinhoff, University of California San Francisco",,2594115,,,,Identification and Characterization of Key Itch Mediators and Receptors in Human Pruitus,,,,,,,
16858,LEO," Associate Professor Kiarash Khosrotehrani, University of Queensland",, AUD 268239,,,,The natural history of skin cancer formation: from normal skin to cancer,,,,,,,
16859,LEO," Associate Professor Kiarash Khosrotehrani, University of Queensland",, AUD 415386,,,,Preventing Basal Cell Carcinoma formation by targeting the tumor environment,,,,,,,
16860,LEO," Mikkel Bohm, Young Scientists (Astra)",, 3000000,,,,Young Scientists,,,,,,,
16861,LEO," Department of Pharmacy, University of Copenhag",, 40000000,,,,LEO Foundation Center for Cutaneous Drug Delivery,,,,,,,
16862,LEO, Dr. Christina Zielinski,, 500000,,,,The LEO Foundation Award 2014 – Silver Award,,,,,,,
16863,LEO, Dr. Kim B. Jens,, 1000000,,,,The LEO Foundation Award 2014 – Gold Award,,,,,,,
16864,LEO," Professor Lone Skov, Department of Dermato-Allergology, Gentofte Hospital",, 4500000,,,,Psoriasis in children,,,,,,,
16865,LEO, Dr. Muzlifah Haniff,, 500000,,,,The LEO Foundation Award 2013 – Silver Award,,,,,,,
16866,LEO, Dr. Onur Boym,, 1000000,,,,The LEO Foundation Award 2013 – Gold Award,,,,,,,
16867,LEO," Professor Martin Steinhoff, University of California San Francisco",,2594115,,,,Identification and Characterization of Key Itch Mediators and Receptors in Human Pruitus,,,,,,,
16878,LEO," Associate Professor Kiarash Khosrotehrani, University of Queensland",, AUD 268239,,,,The natural history of skin cancer formation: from normal skin to cancer,,,,,,,
16879,LEO," Associate Professor Kiarash Khosrotehrani, University of Queensland",, AUD 415386,,,,Preventing Basal Cell Carcinoma formation by targeting the tumor environment,,,,,,,
16880,LEO," Mikkel Bohm, Young Scientists (Astra)",, 3000000,,,,Young Scientists,,,,,,,
16881,LEO," Department of Pharmacy, University of Copenhag",, 40000000,,,,LEO Foundation Center for Cutaneous Drug Delivery,,,,,,,
16882,LEO, Dr. Christina Zielinski,, 500000,,,,The LEO Foundation Award 2014 – Silver Award,,,,,,,
16883,LEO, Dr. Kim B. Jens,, 1000000,,,,The LEO Foundation Award 2014 – Gold Award,,,,,,,
16884,LEO," Professor Lone Skov, Department of Dermato-Allergology, Gentofte Hospital",, 4500000,,,,Psoriasis in children,,,,,,,
16885,LEO, Dr. Muzlifah Haniff,, 500000,,,,The LEO Foundation Award 2013 – Silver Award,,,,,,,
16886,LEO, Dr. Onur Boym,, 1000000,,,,The LEO Foundation Award 2013 – Gold Award,,,,,,,
16887,LEO," Professor Martin Steinhoff, University of California San Francisco",,2594115,,,,Identification and Characterization of Key Itch Mediators and Receptors in Human Pruitus,,,,,,,
16898,LEO," Associate Professor Kiarash Khosrotehrani, University of Queensland",, AUD 268239,,,,The natural history of skin cancer formation: from normal skin to cancer,,,,,,,
16899,LEO," Associate Professor Kiarash Khosrotehrani, University of Queensland",, AUD 415386,,,,Preventing Basal Cell Carcinoma formation by targeting the tumor environment,,,,,,,
16900,LEO," Mikkel Bohm, Young Scientists (Astra)",, 3000000,,,,Young Scientists,,,,,,,
16901,LEO," Department of Pharmacy, University of Copenhag",, 40000000,,,,LEO Foundation Center for Cutaneous Drug Delivery,,,,,,,
16902,LEO, Dr. Christina Zielinski,, 500000,,,,The LEO Foundation Award 2014 – Silver Award,,,,,,,
16903,LEO, Dr. Kim B. Jens,, 1000000,,,,The LEO Foundation Award 2014 – Gold Award,,,,,,,
16904,LEO," Professor Lone Skov, Department of Dermato-Allergology, Gentofte Hospital",, 4500000,,,,Psoriasis in children,,,,,,,
16905,LEO, Dr. Muzlifah Haniff,, 500000,,,,The LEO Foundation Award 2013 – Silver Award,,,,,,,
16906,LEO, Dr. Onur Boym,, 1000000,,,,The LEO Foundation Award 2013 – Gold Award,,,,,,,
16907,LEO," Professor Martin Steinhoff, University of California San Francisco",,2594115,,,,Identification and Characterization of Key Itch Mediators and Receptors in Human Pruitus,,,,,,,
16918,LEO," Associate Professor Kiarash Khosrotehrani, University of Queensland",, AUD 268239,,,,The natural history of skin cancer formation: from normal skin to cancer,,,,,,,
16919,LEO," Associate Professor Kiarash Khosrotehrani, University of Queensland",, AUD 415386,,,,Preventing Basal Cell Carcinoma formation by targeting the tumor environment,,,,,,,
16920,LEO," Mikkel Bohm, Young Scientists (Astra)",, 3000000,,,,Young Scientists,,,,,,,
16921,LEO," Department of Pharmacy, University of Copenhag",, 40000000,,,,LEO Foundation Center for Cutaneous Drug Delivery,,,,,,,
16922,LEO, Dr. Christina Zielinski,, 500000,,,,The LEO Foundation Award 2014 – Silver Award,,,,,,,
