,Year,Reciever,Grant size (DKK),Description,Project Category
0,2024,"Kunsten at holde balancen, Syddanmark",100.000 kr.,Handicapbus,ÆLDRE - Alle ældre med
1,2024,"Statens Institut for Folkesundhed, Landsdækkende",1.792.350 kr.,Unges mentale sundhed - forløb og konsekvenser,BØRN OG UNGE - Klar til livet
2,2024,"Egebjerg Møllelaug, Syddanmark",1.744 kr.,Hjertestartertaske,TRYGHED I HVERDAGEN - Hjertestart
3,2024,"Mødrehjælpen Brønderslev lokalforening., Nordjylland",40.950 kr.,Sommerophold for børnefamilier,BØRN OG UNGE - Alle med fra start
4,2024,"Folkemøde Kalundborg i Høng, Sjælland",20.000 kr.,Folkemøde Kalundborg i Høng,"STÆRKE RAMMER FOR TRYGHED - Styrk civilsamfund, debat og demokrati"
5,2024,"Social psykiatrisk Bo Form Mariested Sæbygaardvej 36-38 9300 Sæby, Nordjylland",13.620 kr.,Musik og Markedsdag 2024,VOKSNE - Fællesskaber for alle
6,2024,"Sommerlejrgruppen Bjørnebanden, Midtjylland",62.000 kr.,Sommerlejr Bjørnebandelejr,BØRN OG UNGE - Alle med fra start
7,2024,"BROEN Tønder - frivillig forening., Syddanmark",36.000 kr.,"Ferielejr ""Børn der blomstrer"" - brobygning til foreningslivet",BØRN OG UNGE - Alle med fra start
8,2024,"Afdeling for Social Medicin, Institut for Folkesundhedsvidenskab, Københavns Universitet, Landsdækkende",2.386.820 kr.,Søvn og helbredskonsekvenser (genindsendelse af ID 158762),VOKSNE - Sundere liv
9,2024,"Sølund Musik-Festival, Landsdækkende",100.000 kr.,Samvær for sårbare mennesker,VOKSNE - Fællesskaber for alle
10,2024,"Dansk Metal, Landsdækkende",216.180 kr.,"Dit håndværk, din stemme","STÆRKE RAMMER FOR TRYGHED - Styrk civilsamfund, debat og demokrati"
11,2024,"Højskole gruppen Strandby aktivitetscenter , Nordjylland",10.000 kr.,Daghøjskole uge 35,ÆLDRE - Flere gode leveår
12,2024,"Kirkeby kirke , Syddanmark",1.744 kr.,Tasker,TRYGHED I HVERDAGEN - Hjertestart
13,2024,"Bostedet Søndersø, Syddanmark",26.820 kr.,Fællestur for borgere på bosted,VOKSNE - Fællesskaber for alle
