,Title,Project Category,Receiver Name,Grant size (DKK)
0,Inkluderende Fællesskaber - Bedre muligheder for førtidspensionister i Lemvig kommune (2024),Sociale indsatser,DGI Vestjylland,"2,6 mio. kr."
1,Tilgængelige fællesskaber for psykisk syge og udsatte voksne (2024),Sociale indsatser,Den selvejende Institution Muhabet,"3,2 mio. kr."
2,Flere skal med i arbejdsfællesskaber (2024),Sociale indsatser,Glad Fonden,"3,8 mio. kr."
3,Harddiske til lagring af lokal-tv udsendelser (2024),Voksenlivets overgange og forandringer,Dansk Lokal TV Arkiv,110.000 kr.
4,Bogudgivelse: Batteriet i Løkken (2024),Voksenlivets overgange og forandringer,Lokalforlaget Løkken,8.000 kr.
5,"Bogudgivelse: Hvor tanken sættes fri: en bog om refugiet San Cataldo, et værdifuldt arbejdssted for mange aktive ældre (2024)",Voksenlivets overgange og forandringer,Institutionen San Cataldo,35.000 kr.
6,Bogudgivelse: Øresundregionen i det 19. og 20. århundrede (2024),Voksenlivets overgange og forandringer,Makadam Förlag & Bokproduktion AB,30.000 kr.
7,Bogudgivelse: Slavepræsten (2024),Voksenlivets overgange og forandringer,Forlaget Hedwig ApS (Mellemgaard),20.000 kr.
8,"Bogudgivelse: Dansk, men barn af Indien (2024)",Voksenlivets overgange og forandringer,Skriveforlaget (Egolibris),15.000 kr.
9,Bogudgivelse: Præstegårdsteologi (2024),Voksenlivets overgange og forandringer,Forlaget Hedwig ApS (Mellemgaard),15.000 kr.
10,Bogudgivelse: Haikudigte (2024),Voksenlivets overgange og forandringer,Forlaget Ådalen,15.000 kr.
11,Bogudgivelse: Lyse Dage og Nætter (2024),Voksenlivets overgange og forandringer,Forlaget Sie,12.000 kr.
12,"Bogudgivelse: Bernstorff - Slot, Park og hunde (2024)",Voksenlivets overgange og forandringer,Cim Records,15.000 kr.
13,Bogudgivelse: Ruth og Anna- Den nazidømte og fængselspræsten (2024),Voksenlivets overgange og forandringer,Forlaget Hovedland,20.000 kr.
14,Bogudgivelse: Jeg vil ha' lov at være gammel (2024),Voksenlivets overgange og forandringer,Skriveforlaget (Egolibris),10.000 kr.
15,Bogudgivelse: Hvem Søren vil ikke gerne forstå Kierkegaard? Kierkegaard er ikke kun for nørder (2024),Voksenlivets overgange og forandringer,Wadskjær Forlag,17.000 kr.
16,Bogudgivelse: Grænseløse jøder. Spillet om Danmark og Marokko i 1700-tallet (2024),Voksenlivets overgange og forandringer,Gads Forlag,25.000 kr.
17,Bogudgivelse: Den kinesiske udfordring - en realistisk fantasi (2024),Voksenlivets overgange og forandringer,Forlaget Hedwig ApS (Mellemgaard),20.000 kr.
18,Indscanning af over 100 år gamle glasplader (2024),Voksenlivets overgange og forandringer,Museum Mors,50.000 kr.
19,Digitalisering af musiktidsskriftet MODSPIL og upload på DKBs platform tidsskrift.dk (2024),Voksenlivets overgange og forandringer,Mind and Music,20.750 kr.
20,Indkøb af havetraktor (2024),Voksenlivets overgange og forandringer,Ølholm Krolf Klub,25.000 kr.
21,Afholdelse af Ældremesse (2024),Voksenlivets overgange og forandringer,Ældrerådet i Middelfart,33.000 kr.
22,Rejseomkostninger for de aktive i Dansk Veteranskibsklub S/S Bjørn (2024),Voksenlivets overgange og forandringer,Dansk Veteranskibsklub S/S Bjørn,34.500 kr.
23,Indkøb af gulvvaskemaskine (2024),Voksenlivets overgange og forandringer,Svenstrup Sogns Forsamlingshus,10.000 kr.
24,Elektronisk glassav til glaskunstholdet (2024),Voksenlivets overgange og forandringer,Støtteforeningen for de Åbne Aktiviteter i Løsning,2.500 kr.
25,"Nye Sangbøger - ""Sange for Livet"" udgivet af Ældresagen (2024)",Voksenlivets overgange og forandringer,Allinge Sandvig Seniorklub,5.000 kr.
26,"Etablering af mindre værksted, til skabelse af skulpturelle unikke værker i træ (2024)",Voksenlivets overgange og forandringer,,20.000 kr.
27,Kræs for læsekredse (2024),Voksenlivets overgange og forandringer,Foreningen Ordkraft,17.800 kr.
28,Indkøb af udstyr til ny underklub; Stubbekøbing Bridgeklub (2024),Voksenlivets overgange og forandringer,Væggerløse Bridgeklub,17.500 kr.
29,Bogudgivelse: Påskedage ved havet (2024),Voksenlivets overgange og forandringer,Forlaget Hedwig ApS (Mellemgaard),20.000 kr.
30,Floorball og fællesskaber for ældre i København (2024),Voksenlivets overgange og forandringer,Frederiksberg Floorball Club,79.000 kr.
31,Bogudgivelse: Ghettoist (2024),Voksenlivets overgange og forandringer,Skriveforlaget (Egolibris),10.000 kr.
32,Bogudgivelse: Jens Bundesens Erindringer (2024),Voksenlivets overgange og forandringer,Museum Sønderjylland,12.000 kr.
33,Bogudgivelse: Landmandsliv (2024),Voksenlivets overgange og forandringer,Wadskjær Forlag,15.000 kr.
34,Bogudgivelse: Et sort kapitel i mit liv (2024),Voksenlivets overgange og forandringer,Forlaget Hedwig ApS (Mellemgaard),25.000 kr.
35,Bogudgivelse: Nationalstatens fødselsveer. Belyst ved hjælp af Grundtvig og hans politiske venner (2024),Voksenlivets overgange og forandringer,Aarhus Universitetsforlag,15.000 kr.
36,Bogudgivelse: Ansigtet - og andre artikler om musik og kristendom (2024),Voksenlivets overgange og forandringer,Groenningen 1,20.000 kr.
37,Bogudgivelse: Fine fortællinger til stærkere samvær (2024),Voksenlivets overgange og forandringer,Skriveforlaget (Egolibris),35.000 kr.
38,Bogudgivelse: Sankt Jørgens Gilde 1924-2024 (2024),Voksenlivets overgange og forandringer,J-Bog,5.000 kr.
39,Bogudgivelse: Brudflader - Veje og vildveje i europæisk modernitet (2024),Voksenlivets overgange og forandringer,Aarhus Universitetsforlag,50.000 kr.
40,Bogudgivelse: Øen (2024),Voksenlivets overgange og forandringer,Forlaget Trykværket,25.000 kr.
41,Bogudgivelse: Kærlighedsbegrebet hos Hannah Arendt (2024),Voksenlivets overgange og forandringer,Forlaget Eksistensen,20.000 kr.
42,Bodudgivelse: Vindelevskatten - et sted - et fund (2024),Voksenlivets overgange og forandringer,Forlaget Trykværket,20.000 kr.
43,"Bogudgivelse: Jesus, den første socialist. Arbejderbevægelse, religion, kristendom og præsterne 1871-1921 (2024)",Voksenlivets overgange og forandringer,Syddansk Universitetsforlag,20.000 kr.
44,Udskiftning af gamle drejebænke (2024),Voksenlivets overgange og forandringer,Holtbjerg Aktivitetshus,50.000 kr.
45,Kurser for Museumsforeninger (2024),Voksenlivets overgange og forandringer,SAMMUS - Danske Museumsforeninger,122.000 kr.
46,To el-tandemcykler til synshandicappede (2024),Voksenlivets overgange og forandringer,Midtjysk Tandemklub,120.000 kr.
47,Krolf-hus (2024),Voksenlivets overgange og forandringer,Holbøl Foredrags-og Idrætsforening,50.000 kr.
