,Title,Grant size (DKK),Receiver,Project_category,Project_subcategory
0,Skæreprinter (2024),96501,Svendborg Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
1,"Ansøgning om lasercutter fra børn, unge og science: GRO-puljen (2024)",70000,Odense Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
2,Brug af virtual reality og digital simulering i naturfagsundervisningen (2024),31168,Albertslund Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
3,Teknologi og affald (2024),40575,Københavns Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
4,"Havet, verdens lunger (2024)",99275,Greve Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
5,Formning af Unge Sind: Muliggør innovation gennem et Makerlab (2024),73975,Randers Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
6,Makerspace og billedkunst (2024),40580,Holstebro Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
7,Grøn omstilling - et minisamfund i øjenhøjde (2024),85000,Thisted Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
8,IDEudviklingiKREA (2024),42290,Randers Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
9,"RoboRecycler, en vej til Lego League (2024)",61950,Randers Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
10,Teknologien skaber viden om naturen (2024),80913,Aalborg Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
11,Grøn energi - Power-To-X (2024),44325,Vordingborg Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
12,Mordet på skolelederen - Specialstyrkerne indsættes (2024),43885,Køge Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
13,STEAM Makers Space på Hørsholm Lille Skole (2024),100000,Hørsholm Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
14,Den nære natur (på skolens område) (2024),99525,Jammerbugt Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
15,Bæredygtigt emballage-design (2024),45000,Ringkøbing-Skjern Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
16,Det 21. århundredes kompetencer og Lego Spike Education (2024),45000,Thisted Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
17,Undervisning i virkeligheden - undulater på Svartingedal Skole (2024),70669,Bornholms Regionskommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
18,Villum Mobility - Family Support (2024),1000000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
19,Copenhagen Light Festival 2024 - Kunstnerisk markering af tidens store temaer (2024),300000,Foreningen Københavns Lysfestival,Kultur og samfund,Andre projekter
20,Etablering af glasparti på Thorvaldsens Museum (2024),726035,Københavns Kommune,Kultur og samfund,Andre projekter
21,"Nye vinduer til ""Vilde Liv"" (2024)",25000,De Unges Hus,Kultur og samfund,Andre projekter
22,Children's Living Places (2024),25000000,SOS Børnebyerne,Kultur og samfund,Andre projekter
23,Karrusellen - ansøgning om en tillægsbevilling til projekt nr. 37259) (2024),846209,Morsø Kommune,Kultur og samfund,Dagslys og frisk luft
24,Reetablering af en ødelagt et år gammel udendørs multibane (2024),100000,Motion i Dagtimerne,Kultur og samfund,Dagslys og frisk luft
25,Supplerende støtte til foyer- og forpladsprojekt - Den Frie Udstillingsbygning (2024),1100000,Den Frie Udstilling,Kultur og samfund,Andre projekter
26,"Kaiser Wilhelm Memorial Church, Berlin (2024)",21000000,Deutsche Stiftung Denkmalschutz,Kultur og samfund,Andre projekter
27,Fantastiske Asien i Odense Zoo (2024),2000000,Odense Zoo,Kultur og samfund,Andre projekter
28,Programmerings-forståelse (2024),26190,Rasmus Rask Skolen,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
29,Undersøgelser og observationer af dyre- og planteliv (2024),33065,Dybbøl-Skolen,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
30,Forsøg med planter i det udendørs plantelaboratorium (2024),57537,Allerød Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
31,Stråling og livets udvikling (2024),79045,Frederikshavn Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
32,Projekt Fremtiden (2024),30294,Lejre Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
33,Vejr og Klima (2024),67977,Jammerbugt Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
34,"Kroppen, Teknologiforståelse og Vedvarende energi (2024)",36976,Silkeborg Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
35,Stråling og radioaktivitet (2024),45492,Aalborg Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
36,Lego Education Spike Prime-sæt (2024),36400,Randers Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
37,"Engineeringsforløb om ""skadedyr"" i skolehaven. (2024)",62833,Varde Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
38,Robotbyggeri (2024),60626,Thisted Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
39,Livet i vand (2024),35008,Favrskov Kommune,"Børn, unge og science","Undersøgende, virkelighedsnær naturfagsundervisning"
