"Country","Description","Foundation_name","Grant_size_(DKK)","Institution","Project_Category","Project_Subcategory","Receiver","Receiver_Name","Receiver_Profession","Receiver_Title","Region","Title","Unnamed: 0","Unnamed: 1","Year","annotation_id","annotator","created_at","id","lead_time","sentiment","updated_at"
"","Anskaffelse af flygel til musiksal med 190 pladser i nyt ""Vendsyssel Teater ""der er under opførelse i Hjørring.","AUGUSTINUS",700000,"","Instrumenter","Kunst og Kultur","Vendsyssel Teater","","","","","",0,0,2016,38,"1","2024-10-24T12:53:43.477533Z",1,17.915,"Culture","2024-10-24T12:53:43.477561Z"
"","Erhvervelse af to nye koncertflygler til brug i SDMK´s nye kammermusikkoncertsal i Odeon.","AUGUSTINUS",500000,"","Instrumenter","Kunst og Kultur","Syddansk Musikkonservatorium","","","","","",1,1,2016,1174,"1","2024-10-31T09:39:53.294728Z",2,9.995,"Culture","2024-10-31T09:39:53.294756Z"
"","Erhvervelse af ny kontrabas af Jean Auray.","AUGUSTINUS",30000,"","Instrumenter","Kunst og Kultur","Chris Minh Doky","","","","","",2,2,2016,1175,"1","2024-10-31T09:39:56.438576Z",3,2.867,"Culture","2024-10-31T09:39:56.438607Z"
"","Støtte til indkøb af 10 barokbuer til eleverne på Musikalsk Grund Kursus i København.","AUGUSTINUS",25000,"","Instrumenter","Kunst og Kultur","Musikalsk Grund Kursus (MGK) i København","","","","","",3,3,2016,175,"1","2024-10-28T13:50:43.115007Z",4,3.155,"Culture","2024-10-28T13:50:43.115049Z"
"","Copenhagen Phil ønsker økonomisk støtte til orkestrets kommende chefdirigent Toshiyuki Kamioka.","AUGUSTINUS",1000000,"","Koncerter","Kunst og Kultur","Copenhagen Phil","","","","","",4,4,2016,1176,"1","2024-10-31T09:40:09.677962Z",5,2.965,"Culture","2024-10-31T09:40:09.677987Z"
"","Opdatering af Tivoli-Gardens udstyr til hjælp for ny kunstnerisk udvikling.","AUGUSTINUS",1000000,"","Koncerter","Kunst og Kultur","Tivoli-Garden","","","","","",5,5,2016,1204,"1","2024-10-31T09:49:25.380491Z",6,2.287,"Culture","2024-10-31T09:49:25.380522Z"
"","Gennemføre en 3 ugers mesterklasse for at undervise unge violinister mellem 16 og 26 år samt give dem scene erfaring.","AUGUSTINUS",40000,"","Koncerter","Kunst og Kultur","MIlan Vitek","","","","","",71,71,2016,1227,"1","2024-10-31T09:53:21.627336Z",72,3.029,"Culture","2024-10-31T09:53:21.628124Z"
"","Gennemførelse af Ensemble Nordlys koncertrække i sæsonen 2016- 2017 samt realisering af fejring af ensemblets  20 års jubilæum I Tivolis Koncertsal juli 2017.","AUGUSTINUS",30000,"","Koncerter","Kunst og Kultur","Ensemble Nordlys","","","","","",123,123,2016,661,"1","2024-10-30T12:33:21.351011Z",124,3.74,"Culture","2024-10-30T12:33:21.351048Z"
"","Gennemførelse af Vendsyssel Festival i 2016.","AUGUSTINUS",25000,"","Koncerter","Kunst og Kultur","Vendsyssel Festival","","","","","",131,131,2016,559,"1","2024-10-29T14:33:41.733180Z",132,2.996,"Culture","2024-10-29T14:33:41.733207Z"
"","Støtte til 2 opførelser af Haydns oratorium Skabelsen.","AUGUSTINUS",25000,"","Koncerter","Kunst og Kultur","Københavns Kantatekor","","","","","",134,134,2016,1496,"1","2024-11-01T10:34:24.218509Z",135,4.511,"Culture","2024-11-01T10:34:24.218548Z"
"","Gennemførsel af Fonden Svanekegaardens Musikprogram 2016.","AUGUSTINUS",20000,"","Koncerter","Kunst og Kultur","Fonden Svanekegaarden","","","","","",166,166,2016,1795,"1","2024-11-01T15:09:52.453504Z",167,2.292,"Culture","2024-11-01T15:09:52.454423Z"
"","Dækning af udgifter til opførelse af projektet Messias med hjerte.","AUGUSTINUS",20000,"","Koncerter","Kunst og Kultur","Koret Paradox","","","","","",185,185,2016,1941,"1","2024-11-04T11:07:10.430454Z",186,8.514,"Culture","2024-11-04T11:07:10.430494Z"
"","Gennemførelse af: PigeKor i Katedraler. Koncertrække med ny musik for pigekor.","AUGUSTINUS",15000,"","Koncerter","Kunst og Kultur","Støtteforeningen Haderslev Domkirkes Pigekor","","","","","",211,211,2016,804,"1","2024-10-30T14:12:21.247261Z",212,6.381,"Culture","2024-10-30T14:12:21.247299Z"
"","Gennemførelse af internationale koncertaktiviteter.","AUGUSTINUS",14600,"","Koncerter","Kunst og Kultur","Bjarke Mogensen","","","","","",222,222,2016,547,"1","2024-10-29T14:32:10.556767Z",223,2.864,"Culture","2024-10-29T14:32:10.556809Z"
"","Afholdelse af Kammermusikkoncerter i den gamle skole sæson 2016, den 27. sæson.","AUGUSTINUS",10000,"","Koncerter","Kunst og Kultur","Musikhuset Dorf gl. Skole","","","","","",227,227,2016,1731,"1","2024-11-01T14:35:29.176295Z",228,4.206,"Culture","2024-11-01T14:35:29.176334Z"
"","Udgivelse af jubilæums CD-boks i anledning af DKDMs 150 års jubilæum 2017.","AUGUSTINUS",100000,"","Musikudgivelser","Kunst og Kultur","Det Kongelige Danske Musikkonservatorium","","","","","",250,250,2016,1998,"1","2024-11-04T12:05:30.719668Z",251,2.599,"Culture","2024-11-04T12:05:30.719708Z"
"","Nødvendig ombygning af Østre Gasværk.","AUGUSTINUS",6000000,"","Teater og skuespil","Kunst og Kultur","Ejendommen Østre Gasværk (Fond)","","","","","",277,277,2016,618,"1","2024-10-30T12:13:13.738944Z",278,16.55,"Culture","2024-10-30T12:13:13.738984Z"
"","Gennemførelse af Waves Festival 2017.","AUGUSTINUS",70000,"","Teater og skuespil","Kunst og Kultur","Cantabile 2","","","","","",285,285,2016,1985,"1","2024-11-04T12:03:14.355833Z",286,20.829,"Culture","2024-11-04T12:03:14.355867Z"
